Year,Month,num_flights,MonthName
1990,1,458,Janeiro
1990,2,399,Fevereiro
1990,3,461,Março
1990,4,447,Abril
1990,5,458,Maio
1990,6,430,Junho
1990,7,475,Julho
1990,8,472,Agosto
1990,9,456,Setembro
1990,10,464,Outubro
1990,11,437,Novembro
1990,12,436,Dezembro
1991,1,436,Janeiro
1991,2,390,Fevereiro
1991,3,437,Março
1991,4,451,Abril
1991,5,457,Maio
1991,6,469,Junho
1991,7,465,Julho
1991,8,483,Agosto
1991,9,414,Setembro
1991,10,425,Outubro
1991,11,407,Novembro
1991,12,451,Dezembro
1992,1,480,Janeiro
1992,2,437,Fevereiro
1992,3,481,Março
1992,4,469,Abril
1992,5,519,Maio
1992,6,546,Junho
1992,7,558,Julho
1992,8,554,Agosto
1992,9,547,Setembro
1992,10,553,Outubro
1992,11,522,Novembro
1992,12,526,Dezembro
1993,1,516,Janeiro
1993,2,404,Fevereiro
1993,3,424,Março
1993,4,471,Abril
1993,5,489,Maio
1993,6,497,Junho
1993,7,543,Julho
1993,8,548,Agosto
1993,9,518,Setembro
1993,10,518,Outubro
1993,11,505,Novembro
1993,12,507,Dezembro
1994,1,471,Janeiro
1994,2,404,Fevereiro
1994,3,511,Março
1994,4,504,Abril
1994,5,540,Maio
1994,6,548,Junho
1994,7,566,Julho
1994,8,565,Agosto
1994,9,551,Setembro
1994,10,570,Outubro
1994,11,547,Novembro
1994,12,575,Dezembro
1995,1,583,Janeiro
1995,2,526,Fevereiro
1995,3,620,Março
1995,4,647,Abril
1995,5,668,Maio
1995,6,730,Junho
1995,7,756,Julho
1995,8,796,Agosto
1995,9,752,Setembro
1995,10,782,Outubro
1995,11,643,Novembro
1995,12,619,Dezembro
1996,1,614,Janeiro
1996,2,614,Fevereiro
1996,3,645,Março
1996,4,627,Abril
1996,5,678,Maio
1996,6,646,Junho
1996,7,661,Julho
1996,8,685,Agosto
1996,9,653,Setembro
1996,10,660,Outubro
1996,11,609,Novembro
1996,12,634,Dezembro
1997,1,643,Janeiro
1997,2,582,Fevereiro
1997,3,646,Março
1997,4,635,Abril
1997,5,661,Maio
1997,6,671,Junho
1997,7,704,Julho
1997,8,701,Agosto
1997,9,674,Setembro
1997,10,695,Outubro
1997,11,648,Novembro
1997,12,681,Dezembro
1998,1,676,Janeiro
1998,2,615,Fevereiro
1998,3,674,Março
1998,4,663,Abril
1998,5,687,Maio
1998,6,674,Junho
1998,7,685,Julho
1998,8,684,Agosto
1998,9,703,Setembro
1998,10,747,Outubro
1998,11,705,Novembro
1998,12,698,Dezembro
1999,1,700,Janeiro
1999,2,602,Fevereiro
1999,3,719,Março
1999,4,692,Abril
1999,5,739,Maio
1999,6,711,Junho
1999,7,730,Julho
1999,8,740,Agosto
1999,9,699,Setembro
1999,10,733,Outubro
1999,11,693,Novembro
1999,12,721,Dezembro
