month,count
2008-12-01,12
2009-01-01,7114
2009-02-01,6711
2009-03-01,7259
2009-04-01,7084
2009-05-01,7377
2009-06-01,7081
2009-07-01,6837
2009-08-01,6902
2009-09-01,6953
2009-10-01,7916
2009-11-01,7054
2009-12-01,7384
2010-01-01,7390
2010-02-01,5548
2010-03-01,6519
2010-04-01,7662
2010-05-01,7681
2010-06-01,7398
2010-07-01,7271
2010-08-01,6192
2010-09-01,6897
2010-10-01,7145
2010-11-01,6958
2010-12-01,6941
2011-01-01,6746
2011-02-01,7068
2011-03-01,8098
2011-04-01,7437
2011-05-01,7975
2011-06-01,7606
2011-07-01,7214
2011-08-01,6729
2011-09-01,7518
2011-10-01,7754
2011-11-01,7363
2011-12-01,7530
2012-01-01,7475
2012-02-01,7628
2012-03-01,8005
2012-04-01,7712
2012-05-01,7896
2012-06-01,7416
2012-07-01,7159
2012-08-01,7141
2012-09-01,7217
2012-10-01,7210
2012-11-01,6907
2012-12-01,7447
2013-01-01,7289
2013-02-01,6959
2013-03-01,8027
2013-04-01,7493
2013-05-01,7730
2013-06-01,7149
2013-07-01,7107
2013-08-01,6439
2013-09-01,7094
2013-10-01,7551
2013-11-01,7140
2013-12-01,6942
2014-01-01,6893
2014-02-01,6449
2014-03-01,7600
2014-04-01,7495
2014-05-01,7323
2014-06-01,6842
2014-07-01,6525
2014-08-01,6448
2014-09-01,6605
2014-10-01,7160
2014-11-01,6469
2014-12-01,6521
2015-01-01,6402
2015-02-01,6228
2015-03-01,6674
2015-04-01,6573
2015-05-01,6628
2015-06-01,6089
