month,hour,count
2009-01-01,0,1
2009-01-01,1,1
2009-01-01,3,2
2009-01-01,5,2
2009-01-01,6,1
2009-01-01,7,1
2009-01-01,8,1
2009-01-01,10,1
2009-01-01,11,2
2009-01-01,12,4
2009-01-01,13,1
2009-01-01,15,1
2009-01-01,16,2
2009-01-01,17,1
2009-01-01,18,3
2009-01-01,19,4
2009-01-01,20,2
2009-01-01,21,2
2009-01-01,22,2
2009-02-01,0,1
2009-02-01,5,1
2009-02-01,8,1
2009-02-01,9,1
2009-02-01,11,1
2009-02-01,13,1
2009-02-01,14,1
2009-02-01,16,5
2009-02-01,17,2
2009-02-01,19,5
2009-02-01,20,3
2009-02-01,21,3
2009-02-01,22,3
2009-02-01,23,1
2009-03-01,0,2
2009-03-01,2,1
2009-03-01,3,1
2009-03-01,4,3
2009-03-01,6,2
2009-03-01,7,4
2009-03-01,8,4
2009-03-01,9,1
2009-03-01,10,1
2009-03-01,11,2
2009-03-01,12,1
2009-03-01,13,1
2009-03-01,14,2
2009-03-01,15,2
2009-03-01,16,3
2009-03-01,17,3
2009-03-01,19,3
2009-03-01,20,4
2009-03-01,21,2
2009-03-01,22,1
2009-04-01,1,2
2009-04-01,4,2
2009-04-01,6,1
2009-04-01,8,1
2009-04-01,9,1
2009-04-01,10,1
2009-04-01,11,2
2009-04-01,12,1
2009-04-01,14,1
2009-04-01,15,3
2009-04-01,19,1
2009-04-01,20,3
2009-04-01,22,2
2009-04-01,23,1
2009-05-01,2,1
2009-05-01,3,1
2009-05-01,4,1
2009-05-01,7,1
2009-05-01,10,1
2009-05-01,11,1
2009-05-01,12,1
2009-05-01,13,2
2009-05-01,15,4
2009-05-01,16,1
2009-05-01,18,2
2009-05-01,19,1
2009-05-01,20,1
2009-05-01,21,2
2009-06-01,1,1
2009-06-01,3,1
2009-06-01,4,2
2009-06-01,5,2
2009-06-01,6,1
2009-06-01,7,1
2009-06-01,8,2
2009-06-01,9,2
2009-06-01,10,1
2009-06-01,13,1
2009-06-01,14,1
2009-06-01,15,2
2009-06-01,16,1
2009-06-01,17,2
2009-06-01,18,2
2009-06-01,19,3
2009-06-01,20,1
2009-06-01,21,2
2009-07-01,4,1
2009-07-01,5,1
2009-07-01,6,1
2009-07-01,7,1
2009-07-01,8,4
2009-07-01,9,1
2009-07-01,11,2
2009-07-01,12,1
2009-07-01,13,3
2009-07-01,14,2
2009-07-01,15,1
2009-07-01,16,2
2009-07-01,17,1
2009-07-01,18,3
2009-07-01,19,1
2009-07-01,20,1
2009-07-01,21,1
2009-08-01,0,2
2009-08-01,2,1
2009-08-01,4,1
2009-08-01,5,4
2009-08-01,6,1
2009-08-01,7,2
2009-08-01,9,3
2009-08-01,10,2
2009-08-01,12,1
2009-08-01,13,2
2009-08-01,14,4
