country,iso,year,gdp,population,area,higher_ed_pct
Aruba,ABW,2010,2453597206.70391,101838.0,180.0,12.8199996948242
Aruba,ABW,2000,1873452513.96648,90588.0,180.0,16.3999996185303
Afghanistan,AFG,2022,14497243872.1337,40578842.0,652230.0,3.98425006866455
Afghanistan,AFG,2021,14259995441.0759,40000412.0,652230.0,3.0699999332428
Afghanistan,AFG,2020,19955929052.1496,39068979.0,652230.0,4.32343006134033
Afghanistan,AFG,2017,18753456497.8159,35688935.0,652230.0,5.26141691207886
Afghanistan,AFG,2014,20497128555.6972,32792523.0,652230.0,1.91133177280426
Angola,AGO,2021,66505129987.7235,34532429.0,1246700.0,0.126445710659027
Angola,AGO,2019,70897962732.0277,32375632.0,1246700.0,0.0883481949567795
Angola,AGO,2015,90496420506.5957,28157798.0,1246700.0,1.99752998352051
Angola,AGO,2014,135966802586.713,27160769.0,1246700.0,2.63000011444092
Angola,AGO,2011,111789747670.59,24218352.0,1246700.0,4.04619216918945
Albania,ALB,2022,19017244116.7203,2777689.0,27400.0,19.834644317627
Albania,ALB,2021,18032009220.4405,2811666.0,27400.0,18.2029342651367
Albania,ALB,2019,15585111614.0376,2854191.0,27400.0,17.3219871520996
Albania,ALB,2018,15379508329.7568,2866376.0,27400.0,16.4676494598389
Albania,ALB,2017,13258268435.6048,2873457.0,27400.0,16.1501998901367
Albania,ALB,2016,11988668784.6628,2876101.0,27400.0,14.3157796859741
Albania,ALB,2015,11470171826.9575,2880703.0,27400.0,14.8080072402954
Albania,ALB,2014,13296322588.1684,2889104.0,27400.0,13.1912441253662
Albania,ALB,2013,12796985886.1478,2895092.0,27400.0,12.9113216400146
Albania,ALB,2012,12246499747.9714,2900401.0,27400.0,12.8999996185303
Albania,ALB,2011,12973755874.5365,2905195.0,27400.0,12.0
Albania,ALB,2008,13258506375.4518,2947314.0,27400.0,9.81999969482422
Albania,ALB,2001,4059064033.13379,3060173.0,27400.0,7.42999982833862
Andorra,AND,2022,3380612573.32922,79705.0,470.0,25.0400009155273
Andorra,AND,2016,2896610479.73077,72181.0,470.0,21.0499992370605
Andorra,AND,2015,2789881258.50362,72174.0,470.0,21.1299991607666
Andorra,AND,2014,3271685596.66321,73737.0,470.0,21.25
