State,Infarto (AMI),Doença pulmonar (DPOC/COPD),Insuficiência cardíaca (HF),Quadril/Joelho,Pneumonia (PN)
DE,0.91863,0.97598,0.95106,1.01927,0.99375
NJ,1.05443,1.03902,1.06076,1.03309,1.02752
NC,0.99693,0.98205,0.97871,0.99779,1.00044
MI,1.00331,1.00835,1.01867,1.03431,1.01350
FL,1.01223,1.00158,1.01784,0.97411,1.00235
MA,1.03969,1.05036,1.02429,0.95321,1.01384
CT,1.04805,1.02711,1.00244,1.02297,1.02183
MD,1.01584,1.01734,1.03765,1.06396,1.04699
KY,1.03713,1.06328,1.02984,0.97326,1.03986
ND,0.93017,0.94232,0.90205,0.75233,0.94290
VA,1.02253,1.02482,1.00621,1.03895,1.03047
VT,0.92546,1.00074,0.93192,0.87793,0.92472
IL,1.02476,1.02196,1.01184,1.05568,1.03184
TN,1.01385,1.01954,1.01286,0.92421,1.02513
IN,0.95872,1.00290,0.98551,0.94612,0.97624
MO,1.00893,1.01071,0.99741,0.99403,1.01070
NY,1.04485,1.05580,1.06810,0.94664,1.06931
IA,0.92684,0.96948,0.94213,0.88533,0.98300
NH,0.90205,0.97355,0.95510,0.87961,0.93932
SC,1.00534,0.98550,0.96391,0.99308,1.00436
