State,Measure Name,Number of Discharges,Number of Readmissions,Predicted Readmission Rate,Expected Readmission Rate,Excess Readmission Ratio,Hospital Name,Provider Number,Start Date,End Date,True Admission Rate,Diff True_minus_Expected
WI,READM-30-HIP-KNEE-HRRP,242.0,38.0,10.8,5.6,1.9095,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,2010-07-01,2013-06-30,15.702479338842975,10.102479338842976
DC,READM-30-HIP-KNEE-HRRP,247.0,33.0,9.2,5.3,1.7521,PROVIDENCE HOSPITAL,90006,2010-07-01,2013-06-30,13.360323886639677,8.060323886639676
SC,READM-30-HIP-KNEE-HRRP,586.0,53.0,7.6,4.8,1.5836,BEAUFORT COUNTY MEMORIAL HOSPITAL,420067,2010-07-01,2013-06-30,9.044368600682594,4.244368600682594
IL,READM-30-HIP-KNEE-HRRP,965.0,95.0,9.0,5.7,1.576,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,140208,2010-07-01,2013-06-30,9.844559585492227,4.144559585492227
TX,READM-30-HIP-KNEE-HRRP,149.0,20.0,8.2,5.4,1.5308,BRAZOSPORT REGIONAL HEALTH SYSTEM,450072,2010-07-01,2013-06-30,13.422818791946309,8.022818791946309
MO,READM-30-HIP-KNEE-HRRP,141.0,19.0,8.1,5.3,1.5189,WESTERN MISSOURI MEDICAL CENTER,260097,2010-07-01,2013-06-30,13.47517730496454,8.175177304964539
MD,READM-30-HIP-KNEE-HRRP,390.0,38.0,7.8,5.2,1.5079,SAINT AGNES HOSPITAL,210011,2010-07-01,2013-06-30,9.743589743589745,4.543589743589744
MO,READM-30-HIP-KNEE-HRRP,178.0,24.0,9.2,6.1,1.5019,MERCY HOSPITAL JEFFERSON,260023,2010-07-01,2013-06-30,13.48314606741573,7.38314606741573
NC,READM-30-HIP-KNEE-HRRP,98.0,15.0,7.9,5.3,1.4953,ONSLOW MEMORIAL HOSPITAL,340042,2010-07-01,2013-06-30,15.306122448979592,10.006122448979593
VA,READM-30-HIP-KNEE-HRRP,256.0,26.0,7.4,5.0,1.4844,FAUQUIER HOSPITAL,490023,2010-07-01,2013-06-30,10.15625,5.15625
NJ,READM-30-HIP-KNEE-HRRP,121.0,18.0,9.0,6.1,1.4776,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,310024,2010-07-01,2013-06-30,14.87603305785124,8.77603305785124
OH,READM-30-HIP-KNEE-HRRP,108.0,17.0,9.2,6.3,1.4691,MERCY ST ANNE HOSPITAL,360262,2010-07-01,2013-06-30,15.74074074074074,9.44074074074074
VA,READM-30-HIP-KNEE-HRRP,780.0,59.0,6.7,4.6,1.4612,RESTON HOSPITAL CENTER,490107,2010-07-01,2013-06-30,7.564102564102564,2.9641025641025642
NJ,READM-30-HIP-KNEE-HRRP,216.0,25.0,8.4,5.8,1.4559,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,2010-07-01,2013-06-30,11.574074074074074,5.774074074074075
PA,READM-30-HIP-KNEE-HRRP,1458.0,116.0,7.5,5.2,1.4543,THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,2010-07-01,2013-06-30,7.956104252400549,2.756104252400549
GA,READM-30-HIP-KNEE-HRRP,238.0,26.0,8.1,5.5,1.4532,HOUSTON MEDICAL CENTER,110069,2010-07-01,2013-06-30,10.92436974789916,5.42436974789916
TX,READM-30-HIP-KNEE-HRRP,154.0,19.0,7.9,5.4,1.4528,UNIVERSITY OF TEXAS MEDICAL BRANCH GAL,450018,2010-07-01,2013-06-30,12.337662337662337,6.937662337662337
AZ,READM-30-HIP-KNEE-HRRP,117.0,15.0,7.2,4.9,1.4486,VALLEY VIEW MEDICAL CENTER,30117,2010-07-01,2013-06-30,12.82051282051282,7.920512820512819
TN,READM-30-HIP-KNEE-HRRP,322.0,31.0,7.6,5.3,1.4348,REGIONAL HOSPITAL OF JACKSON,440189,2010-07-01,2013-06-30,9.627329192546584,4.327329192546585
TX,READM-30-HIP-KNEE-HRRP,98.0,14.0,7.6,5.3,1.4333,METROPLEX HOSPITAL,450152,2010-07-01,2013-06-30,14.285714285714285,8.985714285714284
TX,READM-30-HIP-KNEE-HRRP,493.0,44.0,7.6,5.3,1.4321,HENDRICK MEDICAL CENTER,450229,2010-07-01,2013-06-30,8.924949290060852,3.6249492900608518
