State,post_mean_p_std,lo,hi,post_mean_ratio_std,Pr_excess>0,n_discharges
MT,0.1319330007711851,0.12573052463158352,0.1381354769107867,0.7632652677861698,1.5051115869343175e-38,12697
SD,0.13807086156958898,0.1320956788221975,0.14404604431698045,0.7987743211582897,1.8746119944356916e-30,14593
UT,0.1387702912009816,0.13225815994782042,0.1452824224541428,0.8028206957710248,5.43433868492042e-25,14386
ID,0.13942679680566078,0.13295730776706693,0.14589628584425463,0.8066187441988599,2.0977878124502256e-24,12048
CO,0.14089364671392063,0.1368522730169201,0.14493502041092116,0.8151048362416826,1.7355649677439162e-54,35201
OR,0.14191968581212247,0.13756944103174196,0.14626993059250298,0.8210407279630142,1.8829563867460255e-44,27382
NE,0.1470817619703653,0.14273261994483957,0.15143090399589101,0.850904624169598,1.7423113673974978e-31,29039
ND,0.14816834458567646,0.1417401726219302,0.15459651654942272,0.8571907752159585,2.6025654559039578e-14,12116
NM,0.14939728951903236,0.1440763906161599,0.15471818842190482,0.8643005277279867,2.8040903431208946e-18,15995
IA,0.15191424531383624,0.1485676207937621,0.15526086983391038,0.8788617438566091,7.126203626244272e-35,50497
KS,0.15196411615815048,0.14834068435339576,0.1555875479629052,0.8791502591114561,6.59754657387311e-30,41998
WI,0.15225875945012027,0.14939755201761998,0.15511996688262056,0.8808548439373312,1.698724361800645e-45,65765
MN,0.15486788507362648,0.1510090078534223,0.15872676229383065,0.8959492854801795,3.264262791378921e-20,35028
NH,0.15610885751208736,0.15140382428556148,0.16081389073861324,0.9031286201047276,1.5254120831344437e-12,21995
ME,0.1567794705342102,0.1521749965906105,0.1613839444778099,0.9070082834559707,3.898236513375924e-12,22203
AK,0.15719719392696024,0.14857339125638896,0.16582099659753152,0.909424917318342,0.0001866233950293098,4222
WA,0.15724636234205758,0.15433116236663957,0.16016156231747558,0.909709368845227,4.641033039215413e-26,66149
VT,0.15750572931014506,0.15054370895724317,0.16446774966304695,0.9112098713517646,7.77349182670552e-06,7992
WY,0.15812461963825225,0.15003731202775053,0.16621192724875397,0.9147903060364289,0.00017876615605477532,4832
HI,0.1592661492155237,0.15201408372677985,0.16651821470426756,0.9213943389424418,0.00012023650980722923,7043
AZ,0.1628317469199639,0.15988925238859417,0.16577424145133365,0.9420222096858448,1.2324433321132627e-11,66140
DE,0.16519459581293225,0.16026085077540497,0.17012834085045953,0.9556918790065447,0.0011728345477553968,19207
SC,0.16572893090920413,0.16307566727599376,0.1683821945424145,0.9587831406162979,7.088453164326098e-08,73875
TX,0.1662390566635506,0.164888342170284,0.1675897711568172,0.9617343451536006,4.0765325562739623e-22,288398
OK,0.16747385732923858,0.16461297420141974,0.17033474045705743,0.9688779745355582,0.00011410676049133436,63254
NC,0.1675094321440248,0.1656588520041402,0.1693600122839094,0.969083783699115,7.57093753534086e-09,155511
GA,0.16850554528054928,0.16638065001897165,0.17063044054212692,0.974846546278989,3.0300379340295332e-05,114619
AL,0.1685570963556802,0.16613350914000688,0.17098068357135351,0.9751447820875773,0.00025589846952240187,88988
IN,0.16860794647361652,0.16653252726700735,0.17068336568022568,0.9754389626842191,3.0441968815257665e-05,121549
AR,0.17001183200559128,0.1670043688802018,0.17301929513098077,0.9835607901287585,0.03202097740674514,57124
CA,0.17381217292968223,0.17241323337153086,0.1752111124878336,1.0055467088613714,0.9104112808011824,273918
MO,0.1738559510778141,0.17164022416901797,0.17607167798661022,1.0057999763513983,0.8124167768594522,107090
PA,0.1743041750064685,0.17264905205213626,0.17595929796080073,1.0083930634102298,0.9571020871856416,190027
LA,0.1753981155538881,0.17268439994281146,0.17811183116496473,1.0147217819263536,0.9669639801273913,67554
VA,0.17587286187939122,0.1737780231843228,0.17796770057445963,1.0174683076564406,0.9976367275790898,121875
MS,0.17694161681975898,0.17400381254799643,0.17987942109152152,1.0236513211632154,0.996809296428121,56978
RI,0.17741866019671212,0.17192342491345775,0.1829138954799665,1.0264111359080288,0.9482695049337972,13866
TN,0.17750295278022654,0.17542287669780737,0.1795830288626457,1.02689878949699,0.999994097109254,120293
CT,0.17793766475811817,0.17498312183347098,0.18089220768276537,1.0294137065554656,0.9996279902580792,57735
NV,0.17872518290327277,0.17428028718413702,0.18317007862240853,1.0339696951590325,0.9951899137160405,23841
FL,0.17886854674900604,0.17757653511906168,0.1801605583789504,1.0347990907118119,1.0,321253
MA,0.17968358828707556,0.1775417673882136,0.18182540918593754,1.0395143089981782,0.9999999997952503,113352
IL,0.18177787113351462,0.1802250521186213,0.18333069014840794,1.0516302568524956,1.0,220736
OH,0.18372927465958364,0.18201407917307805,0.18544447014608922,1.0629196122539324,1.0,176964
MI,0.18582646628752755,0.18408736218728608,0.18756557038776903,1.0750523881336964,1.0,174621
DC,0.18725565168780373,0.18081092131234858,0.19370038206325887,1.0833205816173705,0.9999940680778315,10055
MD,0.18904381160481104,0.18660214736995523,0.19148547583966685,1.0936655320840558,1.0,87377
KY,0.18918243682701605,0.18692140191721338,0.19144347173681872,1.0944675135195554,1.0,100778
NJ,0.1916642172374484,0.18982402429493286,0.19350441017996392,1.1088252312890494,1.0,151396
WV,0.19228686919846436,0.1887844649657787,0.19578927343115002,1.1124274279569375,1.0,40228
NY,0.19354605863598212,0.1920234034457447,0.19506871382621954,1.11971215245803,1.0,221982
