Measure Name,State,n_rows,exposure,med_ERR,wmean_ERR,wmed_ERR,rank_kind
READM-30-AMI-HRRP,DC,4,1777.0,1.1012499999999998,0.9933647720877885,0.9696,top
READM-30-AMI-HRRP,AL,28,8437.0,1.05445,1.047163885267275,1.0229,top
READM-30-AMI-HRRP,KY,31,10406.0,1.0524,1.0362384105323854,1.0407,top
READM-30-AMI-HRRP,NJ,58,17874.0,1.0479500000000002,1.0542018126888217,1.0499,top
READM-30-AMI-HRRP,NY,103,26759.0,1.0402,1.0447348705108563,1.0353,top
READM-30-AMI-HRRP,MT,6,1524.0,0.8522000000000001,0.8504372703412073,0.8403,bottom
READM-30-AMI-HRRP,ID,5,1396.0,0.8531,0.8605296561604584,0.8531,bottom
READM-30-AMI-HRRP,SD,6,1866.0,0.9188000000000001,0.879698124330118,0.8416,bottom
READM-30-AMI-HRRP,DE,6,2172.0,0.9298,0.9166487108655617,0.9144,bottom
READM-30-AMI-HRRP,NE,12,2927.0,0.93055,0.9199361803894773,0.9194,bottom
READM-30-COPD-HRRP,NY,142,48751.0,1.04425,1.0559030419888822,1.0528,top
READM-30-COPD-HRRP,MA,55,24149.0,1.0394,1.050870942896186,1.0537,top
READM-30-COPD-HRRP,CT,28,11627.0,1.03755,1.0280478455319515,1.0368,top
READM-30-COPD-HRRP,NJ,62,34167.0,1.0326,1.0392827435829897,1.0321,top
READM-30-COPD-HRRP,WV,27,11940.0,1.0314,1.05314310720268,1.0381,top
READM-30-COPD-HRRP,MT,10,2055.0,0.9273,0.9369121654501217,0.9198,bottom
READM-30-COPD-HRRP,UT,6,888.0,0.9282,0.9221291666666667,0.9073,bottom
READM-30-COPD-HRRP,ND,6,1443.0,0.9356,0.941172972972973,0.8991,bottom
READM-30-COPD-HRRP,CO,31,6026.0,0.9517,0.935144158645868,0.9337,bottom
READM-30-COPD-HRRP,ID,9,1756.0,0.9562,0.939488895216401,0.9554,bottom
READM-30-HF-HRRP,DC,7,3278.0,1.0711,1.0695048200122028,1.0454,top
READM-30-HF-HRRP,NJ,62,48599.0,1.0601,1.0603115537356735,1.0599,top
READM-30-HF-HRRP,NV,20,5750.0,1.0597500000000002,1.037673147826087,1.0597,top
READM-30-HF-HRRP,MS,53,16120.0,1.0571,1.048393498759305,1.0571,top
READM-30-HF-HRRP,NY,147,66508.0,1.0555,1.0670934068082036,1.0762,top
READM-30-HF-HRRP,MT,10,2458.0,0.88455,0.8470067127746136,0.8544,bottom
READM-30-HF-HRRP,SD,10,2825.0,0.8856999999999999,0.8693826548672566,0.8468,bottom
READM-30-HF-HRRP,ID,9,2214.0,0.8867,0.8825485094850948,0.8867,bottom
READM-30-HF-HRRP,ND,6,2603.0,0.91195,0.9014795236265847,0.8804,bottom
READM-30-HF-HRRP,NE,19,6244.0,0.9255,0.9018039077514415,0.9157,bottom
READM-30-HIP-KNEE-HRRP,DC,4,1860.0,1.126,1.1952327956989246,1.1145,top
READM-30-HIP-KNEE-HRRP,AR,22,10258.0,1.1092,1.0139527783193603,1.051,top
READM-30-HIP-KNEE-HRRP,VA,38,24809.0,1.1047,1.0391267886654039,1.0508,top
READM-30-HIP-KNEE-HRRP,MD,31,15959.0,1.1003,1.0613038160285733,1.012,top
READM-30-HIP-KNEE-HRRP,WV,13,3838.0,1.0899,1.0805485930171965,1.0422,top
READM-30-HIP-KNEE-HRRP,ID,7,4084.0,0.8127,0.8430777424094027,0.8127,bottom
READM-30-HIP-KNEE-HRRP,NE,14,8595.0,0.8223,0.779470017452007,0.7511,bottom
READM-30-HIP-KNEE-HRRP,MT,8,3767.0,0.83795,0.8955166179984072,0.8353,bottom
READM-30-HIP-KNEE-HRRP,OR,12,6594.0,0.85835,0.8320437367303609,0.8103,bottom
READM-30-HIP-KNEE-HRRP,HI,3,928.0,0.8602,0.891725,0.8602,bottom
READM-30-PN-HRRP,DC,7,1692.0,1.053,1.0485536052009454,1.0661,top
READM-30-PN-HRRP,KY,65,26010.0,1.0445,1.0388321107266438,1.0405,top
READM-30-PN-HRRP,NY,146,50703.0,1.04215,1.0687175532019804,1.0706,top
READM-30-PN-HRRP,NJ,63,30666.0,1.0369,1.0265156883845301,1.0272,top
READM-30-PN-HRRP,WV,28,10400.0,1.0358999999999998,1.057755625,1.0245,top
READM-30-PN-HRRP,SD,9,3383.0,0.8808,0.8722631096659769,0.8384,bottom
READM-30-PN-HRRP,MT,10,2893.0,0.9212,0.9218432077428275,0.9197,bottom
READM-30-PN-HRRP,UT,15,3112.0,0.938,0.9249908097686375,0.9058,bottom
READM-30-PN-HRRP,NH,13,4670.0,0.9399,0.93989130620985,0.9399,bottom
READM-30-PN-HRRP,ID,10,2598.0,0.9432,0.9262162047729021,0.917,bottom
