State,n,post_mean_p_std,lo,hi
UT,1,0.1036912141679936,0.09869984759832419,0.10869250710073639
MT,1,0.1067730427000657,0.10159826674329214,0.1119876874764015
ID,1,0.10874694178958767,0.10312235217577924,0.11446288910905976
SD,1,0.11004983725480263,0.10526631658239606,0.11483176602309364
CO,1,0.12054113351002474,0.11717444562030137,0.12406680379328654
MD,1,0.1899300472950776,0.18737393620987547,0.19240148847741068
KY,1,0.19833643350465763,0.1958559658493829,0.20088902975358763
NJ,1,0.2013182462634909,0.1992713183569922,0.20326305062422825
NY,1,0.20205739104463338,0.20036661022863297,0.20373807068798405
WV,1,0.20531894454703223,0.20151955495513554,0.20915907985196552
