State,n_rows,n_discharges,post_mean_ratio_std,lo,hi,Pr_excess>0,discover@alpha
MS,191,56978,1.06979520933272,1.0514806634610552,1.0875913745221526,1.0,True
MI,364,174621,1.087086207511643,1.0768639543977276,1.097200273040242,1.0,True
MD,195,87377,1.0987926262720076,1.0840048870366843,1.1130905290319304,1.0,True
MA,244,113352,1.0470846503989502,1.0344232591950209,1.0598416021828976,1.0,True
LA,243,67554,1.0741548737463906,1.0578998489168236,1.090657753600593,1.0,True
KY,245,100778,1.1474256641311027,1.1330755409771411,1.162193069163211,1.0,True
NJ,282,151396,1.1646761935707102,1.152834205837843,1.1759273711571605,1.0,True
IL,537,220736,1.0494452270722514,1.0402796064056057,1.0589599531993465,1.0,True
NY,590,221982,1.16895233021593,1.159170742101138,1.1786754805312147,1.0,True
OH,487,176964,1.0846048812478772,1.07447418399088,1.0944747494973597,1.0,True
PA,545,190027,1.0365163728411462,1.0263195692267804,1.046861663205845,1.0,True
FL,704,321253,1.034740821855158,1.0267492810275778,1.0426537580482946,1.0,True
RI,40,13866,1.0711838103990583,1.034220365287224,1.1095211641731304,1.0,True
DC,29,10055,1.1095628224528018,1.0651281523250762,1.1536326216307018,1.0,True
CT,126,57735,1.0415024996854445,1.0234989317440966,1.0604419168714656,1.0,True
TN,318,120293,1.0412299821275381,1.028602791019812,1.053646260479499,1.0,True
WV,109,40228,1.1878212295273682,1.1658408144884314,1.2100373686640682,1.0,True
NV,82,23841,1.0467470123100657,1.019120475804077,1.0755520859172596,0.999,True
MO,277,107090,0.9992777128753867,0.9862391150919585,1.013114502715583,0.4535,False
VA,299,121875,0.9980496203897145,0.9859075965648448,1.0099762446505842,0.371,False
CA,933,273918,0.9986807218812951,0.9910793212524842,1.0063957982398484,0.366,False
GA,357,114619,0.987826914128868,0.9748703721967311,1.0008730861439983,0.0335,False
WY,23,4832,0.8968378860304763,0.8368533248437765,0.9534815683301767,0.0005,False
IN,311,121549,0.9796785641703172,0.967435088020579,0.9914596142338605,0.0005,False
MN,142,35028,0.8508291353541046,0.8298243758314845,0.8720497953823094,0.0,False
HI,37,7043,0.8928303425708705,0.8446621478831009,0.9411278914689624,0.0,False
AR,170,57124,0.9700452903141797,0.9527336214570492,0.9872639572192241,0.0,False
WI,240,65765,0.839622826352446,0.8238013868320642,0.8557910626874117,0.0,False
WA,187,66149,0.8312490156828581,0.8152738562193298,0.8468410679832085,0.0,False
VT,21,7992,0.8844224543629944,0.8379549535295524,0.9313697432858199,0.0,False
AZ,206,66140,0.8515529083060692,0.8365818899193164,0.866234234596568,0.0,False
UT,53,14386,0.5998794985817693,0.5710031998608376,0.6288132237852722,0.0,False
TX,879,288398,0.9736465017929012,0.965945482653816,0.9818037736718593,0.0,False
CO,130,35201,0.6973604785003256,0.6778833505741685,0.7177573591681629,0.0,False
SD,41,14593,0.6366657167738489,0.608991858333251,0.6643303656526697,0.0,False
SC,201,73875,0.9466276091403586,0.9315791192709392,0.9608718321161499,0.0,False
DE,27,19207,0.9267271970277504,0.8980447941696803,0.9564393878094416,0.0,False
OR,108,27382,0.7427845615992733,0.7203137390794294,0.7661972193085692,0.0,False
ME,70,22203,0.9000208188057817,0.8718167784475045,0.9274994732177995,0.0,False
OK,218,63254,0.9643550582630183,0.9482504520167312,0.981611798678851,0.0,False
IA,136,50497,0.7904202537221456,0.7736151568087659,0.8071267512676891,0.0,False
ID,40,12048,0.6291281420174057,0.5965884902799579,0.6621963208350391,0.0,False
NM,76,15995,0.8459312995742477,0.8143705912741714,0.8783979718620383,0.0,False
KS,149,41998,0.7960875261846794,0.7765570219825818,0.8156247938586438,0.0,False
NH,58,21995,0.8518096320357827,0.8246499347454479,0.8796890820972642,0.0,False
NE,81,29039,0.7353384105936949,0.7131564049359022,0.7576454784396339,0.0,False
ND,29,12116,0.6869842926699354,0.6539023100487545,0.7208914618538796,0.0,False
NC,330,155511,0.9576678667219528,0.9467830626251499,0.9686734266981456,0.0,False
MT,44,12697,0.6177086441788034,0.587771276474795,0.6478766629334332,0.0,False
AL,271,88988,0.973449451368205,0.9585641556810826,0.9874714454193293,0.0,False
AK,22,4222,0.800424055445598,0.7440217895731868,0.8566470195676487,0.0,False
