State,post_mean_p_std,lo,hi,p_std_raw
UT,0.1036912141679936,0.09869984759832419,0.10869250710073639,0.1252511817144761
MT,0.1067730427000657,0.10159826674329214,0.1119876874764015,0.11976733276502749
ID,0.10874694178958767,0.10312235217577924,0.11446288910905976,0.12834401593299835
SD,0.11004983725480263,0.10526631658239606,0.11483176602309364,0.12869593324058254
ND,0.11874757445403175,0.11302924110010877,0.12460854411543032,0.1393947279917642
CO,0.12054113351002474,0.11717444562030137,0.12406680379328654,0.13728364134741897
NE,0.12710574840295108,0.1232715131860856,0.1309616010449262,0.14378703671039944
OR,0.12839284096149334,0.12450868276648128,0.13243979857634106,0.1375299892103669
IA,0.136626832564192,0.13372201433439942,0.13951460755748235,0.15030869993220183
KS,0.1376064399087508,0.1342305257479628,0.1409835231586834,0.15005513471339568
AK,0.1383560237591787,0.12860670003005795,0.14807435457015292,0.1436865210456489
WA,0.143684223107945,0.14092286239263996,0.14637936244545613,0.15629219978990483
WI,0.14513166479847664,0.14239687509882454,0.14792639950851627,0.151157532482606
NM,0.14622210587782902,0.14076672997087813,0.15183408074523896,0.14424271959277443
MN,0.14706871347153658,0.14343796925814634,0.1507367768225478,0.15311704081551375
AZ,0.14719382009103035,0.14460602858036217,0.14973153733633937,0.16223517922099512
NH,0.14723819566196192,0.14254354949531,0.15205725354616284,0.15324133563376202
VT,0.15287543306138718,0.14484336730124175,0.16099043182665976,0.15077781691934505
HI,0.1543287651704601,0.14600272868602718,0.16267716097065185,0.1518582536892848
WY,0.15502148270479815,0.14465294703140347,0.16481253608549878,0.1500949255911899
ME,0.15557166347421403,0.1506964990518476,0.16032144246552996,0.154321382268587
DE,0.1601879518961597,0.15523010088668163,0.16532380525509002,0.16379024493187427
SC,0.16362780589896908,0.16102662317869956,0.16608996834781314,0.16535459750306764
NC,0.1655361520185971,0.16365467656319876,0.1674385005389717,0.1673621056479189
OK,0.16669205584912694,0.1639083198166022,0.16967494219635168,0.1671541680455419
AR,0.16767563183676698,0.16468325092140984,0.17065193704799586,0.16976016663463572
AL,0.16826405266753347,0.16569107861741775,0.1706878020899673,0.16839755628480704
TX,0.1682981135044805,0.16696696612113007,0.16970812572764754,0.16615645650276156
IN,0.16934077602808748,0.16722444948149826,0.17137717065092556,0.16845062103577013
GA,0.17074924606692923,0.1685096636715681,0.17300432132736332,0.16833030274155608
VA,0.17251627565666516,0.17041748548991667,0.17457783327525153,0.17594252102342325
CA,0.1726253636986468,0.17131143571403956,0.17395894092025296,0.17379510317175087
MO,0.17272855562497713,0.17047478959628612,0.17512029186885503,0.17386389836368124
FL,0.1788584747787038,0.1774771097321504,0.1802262527465124,0.17891494398743757
PA,0.17916538481311836,0.17740283258403589,0.1809536034826548,0.17433980963416126
TN,0.17998014823006298,0.1777974952462772,0.18212634422576943,0.17755115971040944
CT,0.18002725381798224,0.17691527578971517,0.18330099657514531,0.17826048694267074
NV,0.18093378568488552,0.17615844477002698,0.18591284075109435,0.179405191860906
MA,0.18099214757834675,0.1788035829914668,0.1831972301369062,0.17983144571047657
IL,0.18140018129506805,0.17981587255010403,0.1830448341077195,0.1819163836567809
MS,0.1849177450289077,0.1817520134063767,0.18799387278521393,0.17710799613389097
RI,0.18515776945198598,0.17876851208856626,0.1917845116064015,0.17776454894265944
LA,0.18567132786927354,0.18286159147239128,0.1885239068512131,0.17541771880722976
OH,0.18747764725250898,0.1857265217324172,0.189183687590421,0.18394513856815078
MI,0.18790655294714442,0.18613960168539875,0.18965480361634468,0.18607828436236762
MD,0.1899300472950776,0.18737393620987547,0.19240148847741068,0.18964574389330005
DC,0.1917917123819064,0.18411102833187448,0.19940932724572427,0.19205832127192313
KY,0.19833643350465763,0.1958559658493829,0.20088902975358763,0.18963512054464615
NJ,0.2013182462634909,0.1992713183569922,0.20326305062422825,0.19207702312819347
NY,0.20205739104463338,0.20036661022863297,0.20373807068798405,0.1938234202772941
WV,0.20531894454703223,0.20151955495513554,0.20915907985196552,0.19407212567860033
