instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_c,atemp_c,hum_pct,wind_kmh,season_lbl,weathersit_lbl,dow,month,mon_sin,mon_cos
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,38.6995752,winter,mist_cloudy,6,1,0.49999999999999994,0.8660254037844387
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,9.083466000000001,7.3467740000000035,69.6087,59.9476068,winter,mist_cloudy,0,1,0.49999999999999994,0.8660254037844387
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,1.229108,-3.499270000000001,43.7273,59.892130800000004,winter,clear,1,1,0.49999999999999994,0.8660254037844387
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,1.4000000000000004,-1.9999479999999998,59.0435,38.663395200000004,winter,clear,2,1,0.49999999999999994,0.8660254037844387
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,2.6669789999999995,-0.8681800000000006,43.695699999999995,45.08028000000001,winter,clear,3,1,0.49999999999999994,0.8660254037844387
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1.6043559999999992,-0.6082059999999991,51.8261,21.60312624,winter,clear,4,1,0.49999999999999994,0.8660254037844387
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,1.2365340000000007,-2.2166259999999998,49.8696,40.696711199999996,winter,mist_cloudy,5,1,0.49999999999999994,0.8660254037844387
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,-0.24499999999999922,-5.291236,53.5833,64.3531248,winter,mist_cloudy,6,1,0.49999999999999994,0.8660254037844387
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,-1.4983489999999993,-8.33245,43.416700000000006,87.30234,winter,clear,0,1,0.49999999999999994,0.8660254037844387
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,-0.9108490000000007,-6.041392,48.2917,53.8520004,winter,clear,1,1,0.49999999999999994,0.8660254037844387
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,-0.0527230000000003,-3.3633760000000006,68.6364,29.458238400000006,winter,mist_cloudy,2,1,0.49999999999999994,0.8660254037844387
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.11816899999999997,-5.408782,59.954499999999996,73.4760324,winter,clear,3,1,0.49999999999999994,0.8660254037844387
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,-0.24499999999999922,-6.041722,47.0417,72.60119999999999,winter,clear,4,1,0.49999999999999994,0.8660254037844387
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,-0.43910999999999945,-3.5647420000000007,53.7826,30.523377600000003,winter,clear,5,1,0.49999999999999994,0.8660254037844387
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,2.9666510000000006,0.3753920000000015,49.875,38.100675599999995,winter,mist_cloudy,6,1,0.49999999999999994,0.8660254037844387
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,2.888349,-0.5416779999999992,48.375,45.4500396,winter,clear,0,1,0.49999999999999994,0.8660254037844387
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.264151,-4.333113999999998,53.75,46.7969004,winter,mist_cloudy,1,1,0.49999999999999994,0.8660254037844387
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,2.1833489999999998,-0.6660219999999999,86.16669999999999,35.40213,winter,mist_cloudy,2,1,0.49999999999999994,0.8660254037844387
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,5.732177999999999,3.695852000000002,74.1739,50.2460604,winter,mist_cloudy,3,1,0.49999999999999994,0.8660254037844387
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,4.298349,0.8333000000000013,53.833299999999994,47.2520448,winter,mist_cloudy,4,1,0.49999999999999994,0.8660254037844387
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.34249999999999936,-5.583022,45.7083,85.20197040000001,winter,clear,5,1,0.49999999999999994,0.8660254037844387
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,-5.2208711999999995,-10.7814064,40.0,41.479164000000004,winter,clear,6,1,0.49999999999999994,0.8660254037844387
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,-3.4634801,-9.4766194,43.6522,59.47992000000001,winter,clear,0,1,0.49999999999999994,0.8660254037844387
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,-3.4226089,-8.21662,49.173899999999996,38.189196,winter,clear,1,1,0.49999999999999994,0.8660254037844387
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,2.5034660000000013,-0.5212839999999996,61.695699999999995,31.3067952,winter,mist_cloudy,2,1,0.49999999999999994,0.8660254037844387
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,2.2225,-2.5624000000000002,86.25,70.87662,winter,light_snow_rain,3,1,0.49999999999999994,0.8660254037844387
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,1.165000000000001,-1.4998000000000005,68.75,27.4574844,winter,clear,4,1,0.49999999999999994,0.8660254037844387
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,1.563466,-1.2610780000000013,79.30430000000001,29.739960000000004,winter,mist_cloudy,5,1,0.49999999999999994,0.8660254037844387
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,1.2365340000000007,-1.9996840000000002,65.17389999999999,35.062038,winter,clear,6,1,0.49999999999999994,0.8660254037844387
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,2.176534,0.5212520000000005,72.2174,17.84460312,winter,clear,0,1,0.49999999999999994,0.8660254037844387
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.49915099999999946,-3.7074999999999996,60.375,45.1507104,winter,mist_cloudy,1,1,0.49999999999999994,0.8660254037844387
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,1.032178,-0.52102,82.9565,12.8349756,winter,mist_cloudy,2,2,0.8660254037844386,0.5000000000000001
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,4.220000000000001,0.7915220000000005,77.5417,63.75108959999999,winter,mist_cloudy,3,2,0.8660254037844386,0.5000000000000001
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0.7869790000000005,-4.260052,43.7826,66.9937824,winter,clear,4,2,0.8660254037844386,0.5000000000000001
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,1.9312880000000003,-0.913257999999999,58.521699999999996,30.8347668,winter,mist_cloudy,5,2,0.8660254037844386,0.5000000000000001
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,2.9666510000000006,0.041827999999998866,92.91669999999999,38.852254800000004,winter,mist_cloudy,6,2,0.8660254037844386,0.5000000000000001
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,5.434151,3.2502860000000027,56.833299999999994,34.20216,winter,clear,0,2,0.8660254037844386,0.5000000000000001
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,4.768348999999999,4.041428,73.83330000000001,10.95248196,winter,clear,1,2,0.8660254037844386,0.5000000000000001
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,2.3791510000000002,-2.9157639999999994,53.7917,87.30234,winter,clear,2,2,0.8660254037844386,0.5000000000000001
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,-1.6651990000000003,-6.477322000000001,49.4783,45.5479668,winter,mist_cloudy,3,2,0.8660254037844386,0.5000000000000001
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,-1.2156440000000002,-6.129832,43.7391,53.530722000000004,winter,clear,4,2,0.8660254037844386,0.5000000000000001
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0.887277000000001,-1.9084059999999994,50.6364,26.182259999999996,winter,clear,5,2,0.8660254037844386,0.5000000000000001
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,2.4574999999999996,-0.6250359999999997,54.4167,49.0521204,winter,clear,6,2,0.8660254037844386,0.5000000000000001
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,6.876534000000001,5.391458,45.7391,62.92497959999999,winter,clear,0,2,0.8660254037844386,0.5000000000000001
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,11.504999999999999,10.2911,37.583299999999994,100.79940959999999,winter,clear,1,2,0.8660254037844386,0.5000000000000001
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,4.506089000000001,0.7820840000000011,31.434800000000003,70.27940880000001,winter,clear,2,2,0.8660254037844386,0.5000000000000001
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,6.958267000000001,4.869199999999999,42.3478,60.731989199999994,winter,clear,3,2,0.8660254037844386,0.5000000000000001
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,12.484151,12.291428,50.5,55.5010848,winter,clear,4,2,0.8660254037844386,0.5000000000000001
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,16.518349,17.790878,51.6667,63.89991000000001,winter,clear,5,2,0.8660254037844386,0.5000000000000001
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,10.760849,9.832663999999998,18.7917,122.4000756,winter,clear,6,2,0.8660254037844386,0.5000000000000001
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,5.405199,2.3037799999999997,40.7826,53.844282,winter,clear,0,2,0.8660254037844386,0.5000000000000001
