artifact,metric,baseline,repro,delta,status,severity
consolidated_status.json,run_metadata.config,"{'random_seed': 42, 'churn_days': 30, 'conversion_days': 30, 'alpha': 0.05, 'min_segment_n': 200, 'run_temporal_backtest': False, 'temporal_backtest_months': 18, 'temporal_min_train_months': 6, 'temporal_train_row_cap': 300000, 'temporal_min_test_rows': 5000, 'threshold_grid_size': 99, 'intervention_capacity_pct': 0.2, 'min_precision_for_trigger': 0.8, 'churn_tp_value': 3.0, 'churn_fp_cost': 1.0, 'churn_fn_cost': 2.0}","{'random_seed': 42, 'churn_days': 30, 'conversion_days': 30, 'alpha': 0.05, 'min_segment_n': 200, 'run_temporal_backtest': False, 'temporal_backtest_months': 18, 'temporal_min_train_months': 6, 'temporal_train_row_cap': 300000, 'temporal_min_test_rows': 5000, 'threshold_grid_size': 99, 'intervention_capacity_pct': 0.2, 'min_precision_for_trigger': 0.8, 'churn_tp_value': 3.0, 'churn_fp_cost': 1.0, 'churn_fn_cost': 2.0}",,pass,info
consolidated_status.json,run_metadata.snapshot_ts,2026-02-09 13:20:08.626000,2026-02-09 13:20:08.626000,,pass,info
consolidated_status.json,hypotheses.status_counts,"{'validated': 8, 'not_testable': 4, 'inconclusive': 2, 'rejected': 1}","{'validated': 8, 'not_testable': 4, 'inconclusive': 2, 'rejected': 1}",,pass,info
consolidated_status.json,causal_diagnostic_assessment.causal_claim_allowed,False,False,,pass,info
consolidated_status.json,ml.status,ok,ok,,pass,info
consolidated_status.json,temporal_backtest.status,skipped,skipped,,pass,info
deep_dive_cluster_profiles_detailed.csv,table.rows,2,2,0,pass,info
deep_dive_cluster_profiles_detailed.csv,col.churn_rate.max_abs_diff,0.005,1.9219375942070016e-05,1.9219375942070016e-05,pass,info
deep_dive_cluster_profiles_detailed.csv,col.conversion_rate.max_abs_diff,0.005,8.403502129117335e-05,8.403502129117335e-05,pass,info
deep_dive_cluster_profiles_detailed.csv,col.median_aula.exact_int,0.0,0.0,0.0,pass,info
deep_dive_cluster_profiles_detailed.csv,col.median_ia_events.exact_int,0.0,0.0,0.0,pass,info
deep_dive_cluster_profiles_detailed.csv,col.median_interactions.exact_int,0.0,0.0,0.0,pass,info
deep_dive_cluster_profiles_detailed.csv,col.median_prova.exact_int,0.0,0.0,0.0,pass,info
