estado_group,teachers,conversion_rate,churn_rate,median_interactions
AC,736,0.9646739130434783,0.9903713892709766,9.0
AL,1333,0.9549887471867967,0.9931558935361217,10.0
AM,1304,0.9662576687116564,0.9829059829059829,8.0
AP,423,0.9763593380614657,0.981042654028436,10.0
BA,6079,0.9657838460273072,0.9931495405179616,9.0
CE,3273,0.9654750992972808,0.9863945578231292,9.0
DF,1463,0.9644565960355435,0.99581589958159,7.0
ES,2248,0.9684163701067615,0.9918918918918919,10.0
GO,2103,0.9638611507370424,0.9879634087626384,9.0
MA,3151,0.9631862900666455,0.9910025706940874,9.0
MG,10546,0.9594158922814338,0.9920857060129331,8.0
MS,1861,0.968833960236432,0.9945593035908596,9.0
MT,1917,0.9577464788732394,0.9920255183413078,8.0
PA,3280,0.9664634146341463,0.9848391089108911,10.0
PB,1493,0.9745478901540523,0.9904955872369314,9.0
PE,3740,0.9700534759358289,0.9899783315276273,10.0
PI,1801,0.971682398667407,0.9949466591802358,8.0
PR,3549,0.9650605804451958,0.9934040722684255,7.0
RJ,4606,0.9667824576639167,0.9904804073500111,7.0
RN,1171,0.9530315969257045,0.993006993006993,7.0
RO,760,0.9578947368421052,0.9933333333333333,8.0
RR,412,0.9684466019417476,0.9926650366748166,11.0
RS,4171,0.9664349076959962,0.9931923170435205,9.0
SC,2795,0.9610017889087656,0.9948717948717949,7.0
SE,952,0.9537815126050421,0.9787007454739084,9.0
SP,17680,0.9695701357466063,0.9939157387211571,8.0
TO,1318,0.9461305007587253,0.9930928626247122,12.0
exterior,480,0.9729166666666667,0.9936974789915967,7.0
missing,73355,0.7233044782223434,0.9994646384463438,1.0
