utm_group,teachers,conversion_rate,churn_rate,median_interactions
blog,1135,0.9242290748898678,0.9847908745247148,2.0
landing,82682,0.850584165840207,0.9961403459704373,2.0
mari,144,0.9305555555555556,0.9485294117647058,7.0
missing,32739,0.7307798039036012,0.998010960016237,1.0
organic_search,19040,0.9846113445378152,0.9904711766254277,12.0
other,4378,0.9246231155778895,0.9875616052569819,11.0
paid_search,15741,0.9339304999682358,0.9923846102907092,7.0
push_or_notification,1668,0.8525179856115108,0.9930362116991643,3.0
school_invite,102,0.9117647058823529,0.9468085106382979,12.0
social,371,0.8355795148247979,0.9903536977491961,2.0
