entity,key,baseline,truth,status,delta
summary,state_missing_pct,0.46427215189873416,0.46427215189873416,match,0.0
summary,utm_missing_pct,0.20720886075949366,0.20720886075949366,match,0.0
summary,short_sessions_le_5s,243319,243319,match,0.0
summary,short_sessions_rate_le_5s,0.2632724164421506,0.2632724164421506,match,0.0
summary,return_gap_median_days,0.33557450231578617,0.33557450231578617,match,0.0
summary,return_gap_heavy_median_days,0.4315382175947781,0.4315382175947781,match,0.0
summary,return_gap_base_median_days,0.18820373264037898,0.18820373264037898,match,0.0
summary,latest_new_users_month,2025-10-01,2025-10-01,match,
summary,latest_new_users_count,80,80,match,0.0
summary,recent_6m_mau_interactions_slope_users_per_month,-457.9142857142854,-457.9142857142854,match,0.0
summary,retention_recent_avg_6m,,0.2526148359499601,extra_truth_metric,
hypothesis,H1,validated,validated,match,
hypothesis,H10,validated,validated,match,
hypothesis,H11,validated,validated,match,
hypothesis,H12,rejected,rejected,match,
hypothesis,H13,validated,validated,match,
hypothesis,H14,inconclusive,inconclusive,match,
hypothesis,H15,not_testable,not_testable,match,
hypothesis,H2,validated,validated,match,
hypothesis,H3,inconclusive,inconclusive,match,
hypothesis,H4,validated,validated,match,
hypothesis,H5,validated,validated,match,
hypothesis,H6,not_testable,not_testable,match,
hypothesis,H7,not_testable,not_testable,match,
hypothesis,H8,validated,validated,match,
hypothesis,H9,not_testable,not_testable,match,
