job_id,cluster_kmeans,cluster_spectral
1,1,2
2,2,1
3,3,3
4,3,3
5,1,2
6,3,3
7,1,2
8,1,2
9,2,1
10,2,1
11,1,2
12,2,1
13,2,1
14,3,3
15,2,1
16,2,1
17,2,1
18,3,3
19,1,2
20,2,1
21,3,3
22,3,3
23,2,1
24,2,1
25,2,1
26,2,1
27,3,3
28,1,2
29,1,2
30,1,2
31,3,3
32,1,2
33,3,3
34,2,1
35,2,1
36,2,1
37,3,3
38,2,1
39,1,2
40,1,2
41,3,3
42,2,1
43,3,3
44,3,3
45,3,3
46,2,1
47,1,2
48,2,1
49,2,1
50,2,1
51,3,3
52,2,1
53,1,2
54,3,3
55,3,3
56,2,1
57,1,2
58,2,1
59,3,3
60,3,3
61,1,2
62,3,3
63,2,1
64,3,3
65,3,3
66,3,3
67,3,3
69,1,2
70,1,2
71,2,1
72,3,3
73,1,2
74,2,1
75,2,1
76,3,3
77,3,3
78,2,1
79,3,3
80,2,1
81,3,3
82,1,2
83,3,3
84,1,2
85,2,1
86,1,2
87,3,3
88,3,3
89,3,3
90,3,3
91,2,1
92,1,2
93,2,1
94,2,1
95,2,1
96,2,1
97,3,3
98,2,1
99,1,2
100,2,1
101,2,1
102,1,2
103,3,3
104,1,2
105,2,1
106,2,1
107,2,1
108,3,3
109,2,1
110,3,3
111,3,3
112,3,3
113,2,1
114,1,2
115,3,3
116,2,1
117,1,2
118,1,2
119,2,1
120,2,1
121,3,3
122,3,3
123,2,1
124,3,3
125,2,1
126,2,1
127,3,3
128,3,3
129,2,1
130,1,2
131,2,1
132,2,1
133,3,3
134,3,3
135,1,2
136,2,1
137,2,1
138,3,3
139,3,3
140,1,2
141,3,3
142,2,1
143,3,3
144,1,2
145,1,2
146,2,1
147,3,3
148,2,1
149,1,2
150,2,1
151,3,3
152,2,1
153,3,3
154,3,3
155,2,1
156,1,2
157,2,1
158,2,1
159,3,3
160,1,2
161,3,3
162,2,1
163,2,1
164,2,1
165,3,3
166,2,1
167,2,1
168,1,2
169,1,2
170,2,1
171,3,3
172,3,3
173,1,2
174,3,3
175,3,3
176,2,1
177,3,3
178,3,3
179,3,3
180,3,3
181,1,2
182,2,1
183,3,3
184,3,3
185,2,1
186,1,2
187,3,3
188,2,1
189,1,2
190,3,3
191,1,2
192,3,3
193,2,1
194,1,2
195,3,3
196,2,1
197,3,3
198,1,2
199,3,3
200,3,3
201,1,2
202,3,3
203,2,1
205,1,2
206,1,2
207,2,1
208,3,3
209,3,3
210,1,2
211,2,1
212,3,3
213,1,2
214,3,3
215,1,2
216,2,1
217,2,1
218,3,3
219,3,3
220,3,3
221,2,1
222,1,2
223,3,3
224,1,2
225,3,3
226,2,1
227,3,3
228,3,3
229,3,3
230,3,3
231,3,3
232,3,3
233,2,1
234,1,2
235,2,1
236,3,3
237,3,3
238,3,3
239,3,3
240,3,3
241,1,2
243,2,1
244,1,2
245,1,2
246,1,2
247,3,3
248,1,2
249,3,3
250,1,2
251,3,3
252,2,1
253,2,1
254,1,2
255,3,3
256,3,3
257,3,3
258,2,1
259,3,3
260,2,1
261,1,2
262,1,2
264,1,2
265,1,2
267,1,2
268,3,3
269,3,3
270,3,3
271,3,3
272,2,1
273,1,2
274,2,1
275,3,3
276,2,1
277,1,2
278,3,3
279,2,1
280,3,3
281,1,2
282,1,2
283,2,1
284,1,2
285,2,1
286,1,2
287,3,3
288,1,2
289,3,3
290,2,1
292,3,3
293,3,3
294,1,2
295,3,3
296,1,2
297,1,2
