topic,term,beta
1,hugging face,0.09629459850419385
1,r,0.09337127616881388
1,cuda,0.09296724386754827
1,langchain,0.08955143562268479
1,mlflow,0.07662761738474694
1,fastapi,0.06345720127373222
1,flask,0.05897564205426299
2,power bi,0.10905003011081799
2,azure,0.09669390397630029
2,keras,0.07665251136982912
2,tensorflow,0.07569412627642341
2,sql,0.06431830293378417
2,numpy,0.06019283357920305
2,hugging face,0.049392192687155216
3,keras,0.10089686465757643
3,aws,0.09895767829626621
3,c++,0.09542948539809339
3,tensorflow,0.08617464566133873
3,numpy,0.07651670291539374
3,excel,0.06582361720085023
3,fastapi,0.0638701722174715
4,gcp,0.15691286188685238
4,python,0.08486049608026829
4,aws,0.0682963638106965
4,scikit-learn,0.06687938278326995
4,langchain,0.052550271600290396
4,hugging face,0.05035936046197962
4,tensorflow,0.04704109500731001
5,fastapi,0.08369439216858605
5,pandas,0.07971070615313942
5,pytorch,0.06858122612458217
5,reinforcement learning,0.06787398573674716
5,flask,0.06312960878135802
5,python,0.06211998427291614
5,mlflow,0.061958142024166635
