id_candidato,arquivo,titulo_fs,subtitulo_fs,ajuste_left,titulo_x,subtitulo_x,ajuste_bottom,largura_barra
cand_001,cand_001.png,29.0,19.0,0.224,0.224,0.224,0.209,0.515
cand_002,cand_002.png,29.0,19.0,0.224,0.224,0.224,0.209,0.52
cand_003,cand_003.png,29.0,19.0,0.224,0.224,0.224,0.209,0.525
cand_004,cand_004.png,29.0,19.0,0.224,0.224,0.224,0.21,0.515
cand_005,cand_005.png,29.0,19.0,0.224,0.224,0.224,0.21,0.52
cand_006,cand_006.png,29.0,19.0,0.224,0.224,0.224,0.21,0.525
cand_007,cand_007.png,29.0,19.0,0.224,0.224,0.224,0.211,0.515
cand_008,cand_008.png,29.0,19.0,0.224,0.224,0.224,0.211,0.52
cand_009,cand_009.png,29.0,19.0,0.224,0.224,0.224,0.211,0.525
cand_010,cand_010.png,29.0,19.0,0.225,0.225,0.225,0.209,0.515
cand_011,cand_011.png,29.0,19.0,0.225,0.225,0.225,0.209,0.52
cand_012,cand_012.png,29.0,19.0,0.225,0.225,0.225,0.209,0.525
cand_013,cand_013.png,29.0,19.0,0.225,0.225,0.225,0.21,0.515
cand_014,cand_014.png,29.0,19.0,0.225,0.225,0.225,0.21,0.52
cand_015,cand_015.png,29.0,19.0,0.225,0.225,0.225,0.21,0.525
cand_016,cand_016.png,29.0,19.0,0.225,0.225,0.225,0.211,0.515
cand_017,cand_017.png,29.0,19.0,0.225,0.225,0.225,0.211,0.52
cand_018,cand_018.png,29.0,19.0,0.225,0.225,0.225,0.211,0.525
cand_019,cand_019.png,29.0,19.0,0.226,0.226,0.226,0.209,0.515
cand_020,cand_020.png,29.0,19.0,0.226,0.226,0.226,0.209,0.52
cand_021,cand_021.png,29.0,19.0,0.226,0.226,0.226,0.209,0.525
cand_022,cand_022.png,29.0,19.0,0.226,0.226,0.226,0.21,0.515
cand_023,cand_023.png,29.0,19.0,0.226,0.226,0.226,0.21,0.52
cand_024,cand_024.png,29.0,19.0,0.226,0.226,0.226,0.21,0.525
cand_025,cand_025.png,29.0,19.0,0.226,0.226,0.226,0.211,0.515
cand_026,cand_026.png,29.0,19.0,0.226,0.226,0.226,0.211,0.52
cand_027,cand_027.png,29.0,19.0,0.226,0.226,0.226,0.211,0.525
cand_028,cand_028.png,29.0,19.0,0.222,0.222,0.222,0.205,0.51
cand_029,cand_029.png,29.0,19.0,0.222,0.222,0.222,0.205,0.52
cand_030,cand_030.png,29.0,19.0,0.222,0.222,0.222,0.205,0.53
