id_candidato,arquivo,line_lw,titulo_fs,subtitulo_fs,legend_y,bottom
cand_001,cand_001.png,4.5,35.0,24.0,-0.23,0.245
cand_002,cand_002.png,4.5,35.0,24.0,-0.23,0.24
cand_003,cand_003.png,4.5,35.0,24.0,-0.23,0.25
cand_004,cand_004.png,4.5,35.0,24.0,-0.225,0.245
cand_005,cand_005.png,4.5,35.0,24.0,-0.225,0.24
cand_006,cand_006.png,4.5,35.0,24.0,-0.225,0.25
cand_007,cand_007.png,4.5,35.0,24.0,-0.235,0.245
cand_008,cand_008.png,4.5,35.0,24.0,-0.235,0.24
cand_009,cand_009.png,4.5,35.0,24.0,-0.235,0.25
cand_010,cand_010.png,4.5,35.0,23.0,-0.23,0.245
cand_011,cand_011.png,4.5,35.0,23.0,-0.23,0.24
cand_012,cand_012.png,4.5,35.0,23.0,-0.23,0.25
cand_013,cand_013.png,4.5,35.0,23.0,-0.225,0.245
cand_014,cand_014.png,4.5,35.0,23.0,-0.225,0.24
cand_015,cand_015.png,4.5,35.0,23.0,-0.225,0.25
cand_016,cand_016.png,4.5,35.0,23.0,-0.235,0.245
cand_017,cand_017.png,4.5,35.0,23.0,-0.235,0.24
cand_018,cand_018.png,4.5,35.0,23.0,-0.235,0.25
cand_019,cand_019.png,4.5,35.0,25.0,-0.23,0.245
cand_020,cand_020.png,4.5,35.0,25.0,-0.23,0.24
cand_021,cand_021.png,4.5,35.0,25.0,-0.23,0.25
cand_022,cand_022.png,4.5,35.0,25.0,-0.225,0.245
cand_023,cand_023.png,4.5,35.0,25.0,-0.225,0.24
cand_024,cand_024.png,4.5,35.0,25.0,-0.225,0.25
