id_candidato,arquivo,line_lw,titulo_fs,subtitulo_fs,legend_y,bottom
cand_001,cand_001.png,4.5,40.0,30.0,-0.23,0.235
cand_002,cand_002.png,4.5,40.0,30.0,-0.23,0.232
cand_003,cand_003.png,4.5,40.0,30.0,-0.23,0.238
cand_004,cand_004.png,4.5,40.0,30.0,-0.225,0.235
cand_005,cand_005.png,4.5,40.0,30.0,-0.225,0.232
cand_006,cand_006.png,4.5,40.0,30.0,-0.225,0.238
cand_007,cand_007.png,4.5,40.0,30.0,-0.235,0.235
cand_008,cand_008.png,4.5,40.0,30.0,-0.235,0.232
cand_009,cand_009.png,4.5,40.0,30.0,-0.235,0.238
cand_010,cand_010.png,4.5,40.0,29.0,-0.23,0.235
cand_011,cand_011.png,4.5,40.0,29.0,-0.23,0.232
cand_012,cand_012.png,4.5,40.0,29.0,-0.23,0.238
