id_candidato,arquivo,density_scale,bw_adjust,titulo_y,left,bottom
cand_001,cand_001.png,57.0,0.82,0.93,0.225,0.14
cand_002,cand_002.png,57.0,0.82,0.93,0.225,0.138
cand_003,cand_003.png,57.0,0.82,0.93,0.225,0.142
cand_004,cand_004.png,57.0,0.82,0.93,0.223,0.14
cand_005,cand_005.png,57.0,0.82,0.93,0.223,0.138
cand_006,cand_006.png,57.0,0.82,0.93,0.223,0.142
cand_007,cand_007.png,57.0,0.82,0.93,0.227,0.14
cand_008,cand_008.png,57.0,0.82,0.93,0.227,0.138
cand_009,cand_009.png,57.0,0.82,0.93,0.227,0.142
cand_010,cand_010.png,57.0,0.82,0.928,0.225,0.14
cand_011,cand_011.png,57.0,0.82,0.928,0.225,0.138
cand_012,cand_012.png,57.0,0.82,0.928,0.225,0.142
cand_013,cand_013.png,57.0,0.82,0.928,0.223,0.14
cand_014,cand_014.png,57.0,0.82,0.928,0.223,0.138
cand_015,cand_015.png,57.0,0.82,0.928,0.223,0.142
cand_016,cand_016.png,57.0,0.82,0.928,0.227,0.14
cand_017,cand_017.png,57.0,0.82,0.928,0.227,0.138
cand_018,cand_018.png,57.0,0.82,0.928,0.227,0.142
cand_019,cand_019.png,57.0,0.82,0.932,0.225,0.14
cand_020,cand_020.png,57.0,0.82,0.932,0.225,0.138
cand_021,cand_021.png,57.0,0.82,0.932,0.225,0.142
cand_022,cand_022.png,57.0,0.82,0.932,0.223,0.14
cand_023,cand_023.png,57.0,0.82,0.932,0.223,0.138
cand_024,cand_024.png,57.0,0.82,0.932,0.223,0.142
