iter	Logloss
0	0.6859504795
1	0.6787085405
2	0.6713850871
3	0.6651629853
4	0.6585919193
5	0.6521373356
6	0.646390047
7	0.6403060333
8	0.6348008743
9	0.6293712851
10	0.6247481538
11	0.6197753845
12	0.6154702787
13	0.6111740242
14	0.6067089024
15	0.6029287413
16	0.5998516311
17	0.5964366119
18	0.5927439693
19	0.5893011153
20	0.5861638747
21	0.5832948326
22	0.5805343052
23	0.577919774
24	0.5753057847
25	0.5726991346
26	0.5700137585
27	0.5678527306
28	0.5655755402
29	0.5634945163
30	0.561244357
31	0.5586524246
32	0.5567182429
33	0.5543917093
34	0.5528298407
35	0.5510906722
36	0.5497083974
37	0.5477971864
38	0.5460906862
39	0.5444435425
40	0.542768137
41	0.5413053097
42	0.5396380579
43	0.5380440108
44	0.5369104183
45	0.5355130762
46	0.5342050038
47	0.5329242419
48	0.5316238398
49	0.5303235978
50	0.5290860588
51	0.5283345986
52	0.5272695149
53	0.5262788967
54	0.525137548
55	0.5240042087
56	0.5230198496
57	0.5221855463
58	0.5211323697
59	0.5198377424
60	0.5190459785
61	0.5182538151
62	0.5174272775
63	0.5165912113
64	0.5156813644
65	0.5147154894
66	0.5139442968
67	0.5133637901
68	0.5127955453
69	0.5119678394
70	0.5114250139
71	0.5108077885
72	0.510106989
73	0.5094144438
74	0.508765905
75	0.5082790454
76	0.5078735715
77	0.5074920174
78	0.5068816896
79	0.5064324823
80	0.5058924452
81	0.5055281625
82	0.5051036482
83	0.5046124011
84	0.5042179134
85	0.5038047238
86	0.5033262743
87	0.5030622069
88	0.5027927746
89	0.5023381253
90	0.5019839367
91	0.5014588483
92	0.5010588723
93	0.5005679095
94	0.5000644846
95	0.4996690943
96	0.4992782925
97	0.498829133
98	0.4985710466
99	0.4982080805
100	0.4978720282
101	0.4975586711
102	0.4971657735
103	0.4969460155
104	0.4967114464
105	0.4965135413
106	0.4961862368
107	0.495926699
108	0.4956157939
109	0.4952523441
110	0.4950409834
111	0.4948575309
112	0.4945518568
113	0.4942053896
114	0.4938832023
115	0.4936712643
116	0.4933675176
117	0.4931659485
118	0.4929247237
119	0.4926685561
120	0.4924040906
121	0.4921596222
122	0.4919709923
123	0.4917894829
124	0.4916026702
125	0.491360852
126	0.4912009482
127	0.490997845
128	0.490783111
129	0.4905206466
130	0.490252802
131	0.4900138591
132	0.4898094032
133	0.4896002023
134	0.4893526314
135	0.4891415883
136	0.4889602389
137	0.4887531102
138	0.488551321
139	0.4884243062
140	0.4882255365
141	0.4881005364
142	0.4879480138
143	0.4877812787
144	0.4876412468
145	0.4874291022
146	0.4873215179
147	0.4871532843
148	0.4870418801
149	0.4869465326
150	0.4867688894
151	0.4866493772
152	0.4864988194
153	0.4863659172
154	0.4861587374
155	0.4860183077
156	0.4859096559
157	0.4857995911
158	0.4856873922
159	0.4855624442
160	0.4853996993
161	0.4851855308
162	0.4850107184
163	0.4848108369
164	0.4846367654
165	0.4845190408
166	0.4843752994
167	0.4842253216
168	0.4840586477
169	0.4839532087
170	0.4838412259
171	0.4837740521
172	0.4836672775
173	0.4835624432
174	0.4834130214
175	0.48318724
176	0.4830347745
177	0.4829552298
178	0.4828166096
179	0.4827137166
180	0.4826775316
181	0.4825565041
182	0.4824279024
183	0.4822504847
184	0.4820887726
185	0.4820161717
186	0.4819169696
187	0.4817883965
188	0.4817114308
189	0.4816039252
190	0.481528122
191	0.4813881276
192	0.4812510936
193	0.48114991
194	0.4810172196
195	0.4809165821
196	0.4808694816
197	0.480758308
198	0.4806779382
199	0.4805844186
200	0.4804944725
201	0.4804121729
202	0.480290994
203	0.4801595844
204	0.480076055
205	0.4800003386
206	0.4799616617
207	0.4798390821
208	0.4797973525
209	0.4796994399
210	0.4796395387
211	0.4795971432
212	0.4795368279
213	0.479441171
214	0.4793454681
215	0.4792756514
216	0.4791734267
217	0.4791001287
218	0.4790180844
219	0.4788265567
220	0.4787825456
221	0.4786950147
222	0.4786006631
223	0.4785223369
224	0.4784699391
225	0.4783902862
226	0.4782998197
227	0.4782128245
228	0.4781437327
229	0.4781094804
230	0.4780088338
231	0.4778979105
232	0.4778452472
233	0.4777758594
234	0.4776746371
235	0.4775773132
236	0.4774759722
237	0.4773952383
238	0.4773303947
239	0.4772876575
240	0.4771825823
241	0.477097724
242	0.4770689197
243	0.4770236978
244	0.4769513137
245	0.4769124959
246	0.4768078953
247	0.4767681053
248	0.4767323735
249	0.4766695526
250	0.4765563342
251	0.47652112
252	0.4764763841
253	0.4764305654
254	0.4763634012
255	0.4763245774
256	0.4762925367
257	0.4762184171
258	0.47618541
259	0.4761037083
260	0.4760337436
261	0.4759757106
262	0.4758644189
263	0.4758158842
264	0.4757568258
265	0.475686523
266	0.4756334419
267	0.4755627586
268	0.4755043899
269	0.4754457875
270	0.4753978951
271	0.4753101817
272	0.4752396176
273	0.475161219
274	0.4751219406
275	0.4750742
276	0.4750511161
277	0.4749730885
278	0.474923188
279	0.4748913187
280	0.4748436885
281	0.4747074454
282	0.4746748313
283	0.4746017684
284	0.4745621983
285	0.4744986285
286	0.4744199009
287	0.4743756246
288	0.4743378469
289	0.4742797749
290	0.4742106394
291	0.4741833988
292	0.4741488169
293	0.4740695055
294	0.4740208701
295	0.4739953542
296	0.4739324163
297	0.4739012632
298	0.473874353
299	0.4738332298
300	0.4737926573
301	0.4737595684
302	0.4737033949
303	0.4736802384
304	0.4736350758
305	0.4735695214
306	0.4735304224
307	0.4734849505
308	0.4734448026
309	0.473418367
310	0.4733537272
311	0.4733109294
312	0.4732970614
313	0.4732522201
314	0.4732021698
315	0.4731788778
316	0.4731525136
317	0.47312471
318	0.4730632008
319	0.4730427086
320	0.4729763812
321	0.4729096025
322	0.4728790466
323	0.4728451585
324	0.4727956114
325	0.4727254327
326	0.4726838994
327	0.4726399748
328	0.4726091035
329	0.472555223
330	0.4724665405
331	0.4724273812
332	0.4723778208
333	0.4723449175
334	0.4722749691
335	0.4722370814
336	0.4721985525
337	0.4721045379
338	0.4720666707
339	0.4720603215
340	0.4720102155
341	0.4719261664
342	0.4718831317
343	0.4718363831
344	0.4717977385
345	0.4716959894
346	0.4716358628
