iter	Passed	Remaining
0	2	883
1	4	799
2	6	715
3	7	630
4	8	594
5	9	549
6	11	545
7	12	523
8	13	522
9	14	503
10	15	484
11	17	498
12	19	490
13	20	477
14	21	481
15	23	492
16	24	484
17	26	480
18	27	474
19	28	468
20	29	459
21	30	449
22	32	453
23	34	459
24	35	459
25	37	460
26	38	459
27	39	453
28	40	446
29	41	441
30	42	434
31	43	429
32	45	431
33	46	430
34	49	443
35	50	437
36	52	436
37	53	435
38	56	444
39	57	440
40	58	435
41	59	433
42	60	431
43	62	427
44	63	423
45	64	418
46	65	415
47	66	411
48	67	408
49	68	405
50	69	404
51	70	400
52	71	396
53	72	392
54	74	393
55	76	395
56	78	398
57	80	399
58	81	398
59	83	397
60	84	395
61	95	437
62	113	510
63	124	550
64	127	553
65	142	605
66	159	665
67	174	717
68	175	708
69	181	718
70	183	714
71	186	710
72	187	705
73	193	714
74	196	711
75	198	709
76	202	708
77	203	703
78	204	695
79	206	690
80	209	687
81	210	680
82	212	674
83	212	666
84	213	659
85	215	655
86	217	649
87	218	642
88	219	636
89	221	631
90	222	624
91	224	620
92	225	616
93	227	611
94	228	606
95	230	601
96	232	599
97	233	593
98	236	592
99	237	586
100	242	590
101	244	587
102	245	581
103	246	576
104	248	571
105	249	567
106	251	564
107	253	560
108	255	557
109	256	552
110	258	548
111	259	543
112	261	540
113	262	536
114	263	531
115	264	526
116	265	521
117	266	516
118	267	512
119	269	509
120	270	504
121	271	500
122	272	496
123	273	491
124	274	487
125	275	482
126	276	479
127	278	476
128	279	471
129	280	467
130	281	464
131	282	459
132	283	455
133	284	451
134	285	447
135	285	443
136	286	439
137	288	436
138	289	432
139	290	429
140	291	425
141	292	422
142	293	419
143	294	415
144	296	412
145	297	409
146	298	405
147	300	403
148	302	401
149	303	398
150	304	394
151	305	392
152	307	390
153	309	388
154	310	384
155	311	381
156	313	379
157	314	376
158	316	374
159	318	372
160	319	369
161	321	367
162	322	364
163	323	361
164	324	358
165	325	355
166	326	351
167	327	348
168	329	346
169	330	343
170	331	340
171	331	337
172	332	334
173	333	331
174	334	328
175	336	326
176	338	325
177	339	322
178	340	319
179	342	317
180	343	314
181	344	311
182	346	310
183	347	307
184	347	304
185	348	301
186	349	299
187	350	296
188	351	293
189	352	291
190	354	289
191	355	286
192	355	283
193	356	281
194	357	278
195	358	276
196	359	273
197	360	271
198	361	268
199	362	266
200	363	263
201	364	261
202	365	258
203	365	256
204	366	254
205	367	251
206	369	249
207	370	247
208	371	245
209	372	242
210	372	240
211	373	237
212	374	235
213	375	233
214	376	230
215	377	228
216	378	226
217	379	224
218	380	222
219	381	220
220	381	217
221	382	215
222	384	213
223	385	211
224	386	209
225	387	207
226	388	205
227	388	202
228	389	200
229	390	198
230	391	196
231	393	194
232	395	193
233	396	191
234	396	189
235	397	187
236	398	185
237	399	183
238	400	181
239	402	179
240	402	177
241	403	175
242	404	173
243	405	171
244	406	169
245	407	167
246	408	165
247	409	163
248	410	161
249	411	159
250	412	157
251	413	155
252	414	153
253	415	152
254	416	150
255	417	148
256	418	146
257	419	144
258	420	142
259	421	141
260	422	139
261	423	137
262	425	135
263	426	133
264	426	132
265	428	130
266	429	128
267	431	127
268	431	125
269	433	123
270	435	122
271	437	120
272	438	118
273	439	117
274	440	115
275	442	113
276	443	111
277	444	110
278	445	108
279	446	106
280	447	105
281	448	103
282	450	101
283	451	100
284	452	98
285	452	96
286	453	94
287	454	93
288	455	91
289	456	89
290	458	88
291	459	86
292	460	84
293	461	83
294	462	81
295	463	79
296	464	78
297	466	76
298	466	74
299	468	73
300	469	71
301	469	70
302	470	68
303	471	66
304	472	65
305	474	63
306	475	61
307	476	60
308	477	58
309	478	57
310	479	55
311	480	53
312	482	52
313	482	50
314	483	49
315	484	47
316	485	45
317	486	44
318	487	42
319	488	41
320	489	39
321	490	38
322	491	36
323	492	34
324	493	33
325	494	31
326	495	30
327	496	28
328	497	27
329	498	25
330	499	24
331	500	22
332	502	21
333	503	19
334	504	18
335	506	16
336	507	15
337	508	13
338	509	12
339	510	10
340	510	8
341	511	7
342	512	5
343	514	4
344	515	2
345	516	1
346	517	0
