country,iso,year,gdp_pc,population,area,higher_ed_pct,gdp
Afghanistan,AFG,2022,357.261152798144,40578842.0,652230.0,3.98425006866455,14497243872.133743
Angola,AGO,2021,1925.87466082167,34532429.0,1246700.0,0.126445710659027,66505129987.723404
Albania,ALB,2022,6846.42669381643,2777689.0,27400.0,19.834644317627,19017244116.720264
Andorra,AND,2022,42414.0590092117,79705.0,470.0,25.0400009155273,3380612573.3292184
United Arab Emirates,ARE,2022,49899.0652975197,10074977.0,71020.0,51.0699996948242,502731935194.00916
Armenia,ARM,2022,6571.97445545099,2969200.0,28470.0,28.2912654876709,19513506553.12508
Antigua and Barbuda,ATG,2021,17348.6006987182,92349.0,440.0,11.8943700790405,1602125925.9259272
Australia,AUS,2022,64997.0136536475,26014399.0,7692020.0,36.8400001525879,1690858246994.4338
Austria,AUT,2021,53648.7190742245,8955797.0,82520.0,16.605094909668,480467037338.78253
Azerbaijan,AZE,2022,7770.594223351,10141756.0,82650.0,17.6716747283936,78807470588.23535
Belgium,BEL,2022,50822.2518538518,11680210.0,30494.0,39.385196685791,593614574325.8783
Benin,BEN,2022,1266.42710981159,13759501.0,112760.0,4.79155015945435,17425405083.879684
Burkina Faso,BFA,2022,836.118304593682,22509038.0,273600.0,1.9884124994278,18820218690.59476
Bangladesh,BGD,2022,2716.48592780431,169384897.0,130170.0,7.57236766815186,460131689083.08246
Bulgaria,BGR,2022,13999.6719197289,6465097.0,108560.0,26.3977317810059,90509236929.22356
Bahrain,BHR,2022,30470.5219276023,1524693.0,790.0,29.7800006866455,46458191489.36173
Bosnia and Herzegovina,BIH,2022,7655.59421024383,3204802.0,51200.0,12.289999961853,24534663636.17785
Belarus,BLR,2019,6837.77339645635,9419758.0,202965.0,28.2999992370605,64410170653.45688
Belize,BLZ,2021,6122.61158580079,395346.0,22810.0,4.44977998733521,2420549999.999999
Bolivia,BOL,2022,3643.92826984604,12077154.0,1083300.0,16.893159866333,44008282879.884186
Brazil,BRA,2018,9300.66164923219,206107261.0,8358140.0,16.5400009155273,1916933898010.9895
Brunei Darussalam,BRN,2022,36632.9280421411,455370.0,5270.0,17.5747013092041,16681536442.549793
Botswana,BWA,2022,8328.70905682185,2439892.0,566730.0,9.51717185974121,20321150598.067177
Central African Republic,CAF,2019,449.228467602439,4944703.0,622980.0,1.81203997135162,2221301351.439183
Canada,CAN,2022,56256.8007264015,38935934.0,8788700.0,32.3500862121582,2190411080134.321
