term,step,estimate,lambda,dev.ratio
JobRole_Human.Resources,84,-2.860941781779339,1.3060679185598e-4,0.36270900867236205
JobRole_Human.Resources,83,-2.8069461631239734,1.4334079282694658e-4,0.3626996358496665
JobRole_Human.Resources,82,-2.7494499045461462,1.573163431723698e-4,0.36268878304664653
JobRole_Human.Resources,81,-2.69158122814468,1.726544924235578e-4,0.36267670590257495
JobRole_Human.Resources,80,-2.6335098954119,1.894880922916849e-4,0.36266329993878255
JobRole_Human.Resources,79,-2.5716568046642405,2.0796294736575847e-4,0.3626476335247683
JobRole_Human.Resources,78,-2.5128887103514344,2.2823907800221732e-4,0.36263078551494077
JobRole_Human.Resources,77,-2.450664130763253,2.5049210634470686e-4,0.36261119687824717
JobRole_Human.Resources,76,-2.3880976055672876,2.749147774790711e-4,0.3625891229427948
JobRole_Research.Director,84,2.35508131352741,1.3060679185598e-4,0.36270900867236205
JobRole_Research.Director,83,2.346300924558852,1.4334079282694658e-4,0.3626996358496665
JobRole_Research.Director,82,2.336813355361583,1.573163431723698e-4,0.36268878304664653
JobRole_Research.Director,81,2.326809531152873,1.726544924235578e-4,0.36267670590257495
JobRole_Human.Resources,75,-2.3254113888339543,3.017186288990788e-4,0.3625643260515155
JobRole_Research.Director,80,2.3163529967943917,1.894880922916849e-4,0.36266329993878255
JobRole_Research.Director,79,2.304987199991177,2.0796294736575847e-4,0.3626476335247683
JobRole_Research.Director,78,2.2932856445482983,2.2823907800221732e-4,0.36263078551494077
JobRole_Research.Director,77,2.2806731715815087,2.5049210634470686e-4,0.36261119687824717
JobRole_Research.Director,76,2.267284961897532,2.749147774790711e-4,0.3625891229427948
JobRole_Human.Resources,74,-2.2588094973986848,3.311358227429965e-4,0.3625352485239564
JobRole_Research.Director,75,2.25319631582157,3.017186288990788e-4,0.3625643260515155
JobRole_Research.Director,74,2.2379290573853643,3.311358227429965e-4,0.3625352485239564
JobRole_Research.Director,73,2.221996918105783,3.634211566709661e-4,0.36250335554747265
JobRole_Research.Director,72,2.204846929015805,3.988542708004438e-4,0.3624661887046761
JobRole_Human.Resources,73,-2.1952728902664016,3.634211566709661e-4,0.36250335554747265
JobRole_Research.Director,71,2.186119940272139,4.377420698151201e-4,0.36242380570606114
JobRole_Research.Director,70,2.169265113421459,4.8042138122646953e-4,0.3623785051143624
JobRole_Research.Director,69,2.154529922587627,5.272618728125192e-4,0.3623298698791808
JobRole_Research.Director,68,2.139043388719289,5.786692545032966e-4,0.362274724273457
JobRole_Human.Resources,72,-2.128096233283383,3.988542708004438e-4,0.3624661887046761
JobRole_Research.Director,67,2.1230247571433134,6.35088792446155e-4,0.3622124809128614
JobRole_Research.Director,66,2.106350072482609,6.970091656881309e-4,0.3621389708220613
JobRole_Research.Director,65,2.0880279611824974,7.649666988800687e-4,0.3620558681243696
JobRole_Research.Director,64,2.0756323423408634,8.395500076641738e-4,0.36196382696590595
JobRole_Research.Director,63,2.061593186795074,9.214050969811165e-4,0.36185858356393547
JobRole_Human.Resources,71,-2.0598846277101934,4.377420698151201e-4,0.36242380570606114
JobRole_Research.Director,62,2.04576109582083,0.001011240956455785,0.36173779317598387
JobRole_Research.Director,61,2.0277606228292986,0.0011098357013262414,0.3616011962312166
JobRole_Research.Director,60,2.007784144629907,0.0012180433121056701,0.361445151152419
JobRole_Human.Resources,70,-1.9913554055841334,4.8042138122646953e-4,0.3623785051143624
JobRole_Research.Director,59,1.9857978537240735,0.0013368010313530461,0.3612668113676365
Department_Human.Resources,84,1.9855512187249074,1.3060679185598e-4,0.36270900867236205
JobRole_Research.Director,58,1.9618350225834242,0.0014671374816198123,0.3610628161978371
JobRole_Research.Director,57,1.9358606595754266,0.0016101815748863352,0.36082886696660776
Department_Human.Resources,83,1.9318866967923822,1.4334079282694658e-4,0.3626996358496665
JobRole_Human.Resources,69,-1.9228928802074097,5.272618728125192e-4,0.3623298698791808
JobRole_Research.Director,56,1.9079511174343062,0.0017671722906574176,0.3605630327202353
JobRole_Research.Director,55,1.8790737768389665,0.001939469407410052,0.3602582895122597
Department_Human.Resources,82,1.8747383317457904,1.573163431723698e-4,0.36268878304664653
JobRole_Human.Resources,68,-1.854237505439706,5.786692545032966e-4,0.362274724273457
JobRole_Research.Director,54,1.8470142746487617,0.002128565280344081,0.3599126037612435
Department_Human.Resources,81,1.817312566944312,1.726544924235578e-4,0.36267670590257495
