term,step,estimate,lambda,dev.ratio
JobRole_Research.Director,100,1.2742928561499047,0.008843463142112108,0.35443528922548545
JobRole_Research.Director,99,1.2299638704444846,0.009705689881151381,0.35353045399695915
JobRole_Research.Director,98,1.1860307276678514,0.010651982662822088,0.3525440401067922
JobRole_Research.Director,97,1.1426397594711293,0.011690537822500678,0.35146768034404935
JobRole_Research.Director,96,1.0998783490464201,0.012830350828144373,0.35029496581932634
JobRole_Research.Director,95,1.0578493477662123,0.01408129419473126,0.34901816324757234
JobRole_Research.Director,94,1.0165936704754208,0.015454202995262095,0.3476323679042937
JobRole_Research.Director,93,0.9761861065090146,0.01696096870897924,0.34612886181282204
BusinessTravel_Non.Travel,100,0.9631879695280124,0.008843463142112108,0.35443528922548545
BusinessTravel_Non.Travel,99,0.9472049819339489,0.009705689881151381,0.35353045399695915
JobRole_Research.Director,92,0.936681755772626,0.01861464221967107,0.344500061431348
BusinessTravel_Non.Travel,98,0.9305122666017874,0.010651982662822088,0.3525440401067922
BusinessTravel_Non.Travel,97,0.9132313890105153,0.011690537822500678,0.35146768034404935
JobRole_Research.Director,91,0.8981271335164274,0.020429546856183922,0.34273819803571226
BusinessTravel_Non.Travel,96,0.8953864634545159,0.012830350828144373,0.35029496581932634
OverTime_No,100,0.8937046914896026,0.008843463142112108,0.35443528922548545
OverTime_Yes,100,-0.8872597461246875,0.008843463142112108,0.35443528922548545
OverTime_No,99,0.886221753938191,0.009705689881151381,0.35353045399695915
OverTime_Yes,99,-0.8794142192292126,0.009705689881151381,0.35353045399695915
OverTime_No,98,0.877827057659128,0.010651982662822088,0.3525440401067922
BusinessTravel_Non.Travel,95,0.8770784108176825,0.01408129419473126,0.34901816324757234
OverTime_Yes,98,-0.8716101032828204,0.010651982662822088,0.3525440401067922
OverTime_No,97,0.8690276988156665,0.011690537822500678,0.35146768034404935
OverTime_Yes,97,-0.8633692227886065,0.011690537822500678,0.35146768034404935
JobRole_Research.Director,90,0.8605620640197055,0.0224214024542444,0.34083549706942634
OverTime_No,96,0.8598819390380029,0.012830350828144373,0.35029496581932634
BusinessTravel_Non.Travel,94,0.8581236464163569,0.015454202995262095,0.3476323679042937
OverTime_Yes,96,-0.8546303996714054,0.012830350828144373,0.35029496581932634
OverTime_No,95,0.8507913435691712,0.01408129419473126,0.34901816324757234
OverTime_Yes,95,-0.8450391834713045,0.01408129419473126,0.34901816324757234
OverTime_No,94,0.8406646536193418,0.015454202995262095,0.3476323679042937
BusinessTravel_Non.Travel,93,0.8386626496826545,0.01696096870897924,0.34612886181282204
OverTime_Yes,94,-0.8355318133657241,0.015454202995262095,0.3476323679042937
OverTime_No,93,0.8301092127428257,0.01696096870897924,0.34612886181282204
OverTime_Yes,93,-0.8255739686154835,0.01696096870897924,0.34612886181282204
JobRole_Research.Director,89,0.8239731817123855,0.024607461514156204,0.3387857836774415
OverTime_No,92,0.8191269459208358,0.01861464221967107,0.344500061431348
BusinessTravel_Non.Travel,92,0.8187256728152242,0.01861464221967107,0.344500061431348
OverTime_Yes,92,-0.8151621056260985,0.01861464221967107,0.344500061431348
JobRole_Sales.Representative,100,-0.8115847269780169,0.008843463142112108,0.35443528922548545
OverTime_No,91,0.8077234560516564,0.020429546856183922,0.34273819803571226
JobRole_Sales.Representative,99,-0.8045922321694957,0.009705689881151381,0.35353045399695915
OverTime_Yes,91,-0.8042924529900879,0.020429546856183922,0.34273819803571226
BusinessTravel_Non.Travel,91,0.7983466561398169,0.020429546856183922,0.34273819803571226
JobRole_Sales.Representative,98,-0.7972106397699463,0.010651982662822088,0.3525440401067922
OverTime_No,90,0.7959339049025309,0.0224214024542444,0.34083549706942634
OverTime_Yes,90,-0.7929411392846998,0.0224214024542444,0.34083549706942634
JobRole_Sales.Representative,97,-0.7894480897848273,0.011690537822500678,0.35146768034404935
JobRole_Research.Director,88,0.7885034019840718,0.027006658633704324,0.33657437421617786
OverTime_No,89,0.7842404731335475,0.024607461514156204,0.3387857836774415
JobRole_Sales.Representative,96,-0.7813253300208771,0.012830350828144373,0.35029496581932634
OverTime_Yes,89,-0.7807496459114021,0.024607461514156204,0.3387857836774415
BusinessTravel_Non.Travel,90,0.7775651685308911,0.0224214024542444,0.34083549706942634
JobRole_Sales.Representative,95,-0.7727826965993759,0.01408129419473126,0.34901816324757234
OverTime_No,88,0.7710054590889975,0.027006658633704324,0.33657437421617786
OverTime_Yes,88,-0.7689676564444177,0.027006658633704324,0.33657437421617786
JobRole_Sales.Representative,94,-0.7640190495911324,0.015454202995262095,0.3476323679042937
JobRole_Laboratory.Technician,100,-0.7634655073941905,0.008843463142112108,0.35443528922548545
OverTime_No,87,0.7579574632268159,0.029639774510582882,0.3342002285797351
BusinessTravel_Non.Travel,89,0.7564981713333525,0.024607461514156204,0.3387857836774415
OverTime_Yes,87,-0.7562942022779198,0.029639774510582882,0.3342002285797351
JobRole_Sales.Representative,93,-0.7549549774173964,0.01696096870897924,0.34612886181282204
JobRole_Research.Director,87,0.7540559663805546,0.029639774510582882,0.3342002285797351
JobRole_Laboratory.Technician,99,-0.7489641501341959,0.009705689881151381,0.35353045399695915
JobRole_Sales.Representative,92,-0.7456056310886667,0.01861464221967107,0.344500061431348
OverTime_No,86,0.7445174960605474,0.032529615934857266,0.33165302277616854
OverTime_Yes,86,-0.7431820156708674,0.032529615934857266,0.33165302277616854
JobRole_Sales.Representative,91,-0.735982822471687,0.020429546856183922,0.34273819803571226
BusinessTravel_Non.Travel,88,0.734943483269412,0.027006658633704324,0.33657437421617786
JobRole_Laboratory.Technician,98,-0.7344244016361332,0.010651982662822088,0.3525440401067922
EducationField_Human.Resources,100,-0.7321046422000054,0.008843463142112108,0.35443528922548545
OverTime_No,85,0.7306942694827976,0.0357012133304691,0.3289250107963617
OverTime_Yes,85,-0.7296398561420844,0.0357012133304691,0.3289250107963617
JobRole_Sales.Representative,90,-0.7260888723384852,0.0224214024542444,0.34083549706942634
EducationField_Human.Resources,99,-0.7252058507173879,0.009705689881151381,0.35353045399695915
JobRole_Research.Director,86,0.7206798786208034,0.032529615934857266,0.33165302277616854
