Attrition,.pred_Yes,.pred_No,.pred_class,model
Yes,0.5532221564463093,0.4467778435536907,Yes,Lasso
No,0.17784939424338086,0.8221506057566191,No,Lasso
No,0.0448245150049954,0.9551754849950046,No,Lasso
No,0.07334760843224652,0.9266523915677535,No,Lasso
No,0.008001317990177559,0.9919986820098224,No,Lasso
No,0.001774960542424986,0.998225039457575,No,Lasso
No,4.286712347315591e-4,0.9995713287652684,No,Lasso
No,0.03989235559688753,0.9601076444031125,No,Lasso
No,0.05803117612763187,0.9419688238723681,No,Lasso
No,0.01041088308532212,0.9895891169146779,No,Lasso
No,0.0013960412407511003,0.9986039587592489,No,Lasso
No,0.07156203280151063,0.9284379671984894,No,Lasso
No,0.008652016235741855,0.9913479837642581,No,Lasso
No,0.00718188324081992,0.9928181167591801,No,Lasso
No,0.0076256873564635175,0.9923743126435365,No,Lasso
Yes,0.3934907678515158,0.6065092321484842,Yes,Lasso
No,0.0059905533183272075,0.9940094466816728,No,Lasso
No,0.09597456437536589,0.9040254356246341,No,Lasso
No,0.0110325914177688,0.9889674085822312,No,Lasso
No,0.010931579705974692,0.9890684202940253,No,Lasso
No,0.01358910768143462,0.9864108923185654,No,Lasso
Yes,0.016609310127618793,0.9833906898723812,No,Lasso
No,0.4454225055147448,0.5545774944852552,Yes,Lasso
No,0.1244735629981909,0.8755264370018091,No,Lasso
No,0.002458719808355214,0.9975412801916448,No,Lasso
No,0.04460137391964003,0.95539862608036,No,Lasso
No,0.01607944514820292,0.9839205548517971,No,Lasso
No,0.09113076361295547,0.9088692363870445,No,Lasso
No,0.11129964228996658,0.8887003577100334,No,Lasso
No,0.040864827656192704,0.9591351723438073,No,Lasso
Yes,0.07510814434318691,0.9248918556568131,No,Lasso
No,0.007358790981503827,0.9926412090184962,No,Lasso
No,0.09275496629953162,0.9072450337004684,No,Lasso
No,0.03309474507471544,0.9669052549252846,No,Lasso
No,0.062369394867524464,0.9376306051324755,No,Lasso
No,0.1519057604845464,0.8480942395154536,No,Lasso
No,0.3306861053183159,0.6693138946816841,Yes,Lasso
No,0.1499104817960294,0.8500895182039706,No,Lasso
No,0.047214922562149764,0.9527850774378502,No,Lasso
No,0.002328403039791538,0.9976715969602085,No,Lasso
No,0.0034851434691877126,0.9965148565308123,No,Lasso
No,0.0050370735357281315,0.9949629264642719,No,Lasso
No,0.11575685299579797,0.884243147004202,No,Lasso
No,0.029152012639380498,0.9708479873606195,No,Lasso
Yes,0.08729246891538989,0.9127075310846101,No,Lasso
No,0.10891654836336861,0.8910834516366314,No,Lasso
No,0.0017261747736433408,0.9982738252263567,No,Lasso
No,0.10460941081440278,0.8953905891855972,No,Lasso
No,0.07942073545506823,0.9205792645449318,No,Lasso
No,0.05611662859352462,0.9438833714064754,No,Lasso
No,0.07335096627016369,0.9266490337298363,No,Lasso
No,0.25554036703265814,0.7444596329673419,Yes,Lasso
Yes,0.5311018682426978,0.4688981317573022,Yes,Lasso
No,0.25493080618494357,0.7450691938150564,Yes,Lasso
Yes,0.09711963856857553,0.9028803614314245,No,Lasso
No,0.01509542173430356,0.9849045782656964,No,Lasso
No,0.08207157928651898,0.917928420713481,No,Lasso
No,0.03007132870592344,0.9699286712940766,No,Lasso
No,0.3205884057426027,0.6794115942573973,Yes,Lasso
Yes,0.618239637118968,0.38176036288103204,Yes,Lasso
No,0.14147915751623963,0.8585208424837604,No,Lasso
No,6.745567779824491e-4,0.9993254432220176,No,Lasso
No,0.19421941528029085,0.8057805847197091,No,Lasso
No,0.030354801323142833,0.9696451986768572,No,Lasso
No,0.10238883370547658,0.8976111662945234,No,Lasso
Yes,0.579610226568075,0.42038977343192496,Yes,Lasso
No,0.028220822192752126,0.9717791778072479,No,Lasso
No,0.010208188182232791,0.9897918118177672,No,Lasso
No,0.0421182423004659,0.9578817576995341,No,Lasso
No,0.02276343528683411,0.9772365647131659,No,Lasso
No,0.11688877667187603,0.883111223328124,No,Lasso
No,0.22617957648105613,0.7738204235189439,No,Lasso
No,0.4132905400896836,0.5867094599103164,Yes,Lasso
No,0.029650574113924688,0.9703494258860753,No,Lasso
No,0.0038915134766036585,0.9961084865233963,No,Lasso
No,0.07577902709610385,0.9242209729038962,No,Lasso
No,0.11566817721795764,0.8843318227820424,No,Lasso
No,0.03364089214240196,0.966359107857598,No,Lasso
No,0.11243852163244228,0.8875614783675577,No,Lasso
No,0.015618161432824795,0.9843818385671752,No,Lasso
Yes,0.22997701456466557,0.7700229854353344,No,Lasso
No,3.697078312975277e-4,0.9996302921687025,No,Lasso
No,0.00481305557060796,0.995186944429392,No,Lasso
No,0.03660337613194775,0.9633966238680522,No,Lasso
No,0.07112135699222044,0.9288786430077796,No,Lasso
No,0.0033197898884308463,0.9966802101115692,No,Lasso
Yes,0.12410524461079808,0.8758947553892019,No,Lasso
Yes,0.28060075827874964,0.7193992417212504,Yes,Lasso
No,0.03185408420361102,0.968145915796389,No,Lasso
No,0.016098042822152103,0.9839019571778479,No,Lasso
No,0.19076013172532647,0.8092398682746735,No,Lasso
No,0.019845943405549904,0.9801540565944501,No,Lasso
No,0.03266391964961912,0.9673360803503809,No,Lasso
No,0.025008992899975824,0.9749910071000242,No,Lasso
Yes,0.011159515897056993,0.988840484102943,No,Lasso
No,0.004846262469733187,0.9951537375302668,No,Lasso
No,0.11321643003901671,0.8867835699609833,No,Lasso
No,0.026177886676304718,0.9738221133236953,No,Lasso
No,0.02636473127600314,0.9736352687239969,No,Lasso
No,0.25635999312030555,0.7436400068796944,Yes,Lasso
No,0.0594872487332031,0.9405127512667969,No,Lasso
No,0.00977462303227461,0.9902253769677254,No,Lasso
Yes,0.1687569574507949,0.8312430425492051,No,Lasso
No,0.1565764402819071,0.8434235597180929,No,Lasso
No,0.021621766249734886,0.9783782337502651,No,Lasso
Yes,0.4537570735355456,0.5462429264644544,Yes,Lasso
No,0.0037470819017264567,0.9962529180982735,No,Lasso
No,5.173546925024697e-4,0.9994826453074975,No,Lasso
No,0.01239078562678575,0.9876092143732143,No,Lasso
No,0.006169091524802717,0.9938309084751973,No,Lasso
